"","kingdom"
"annexed",0.19
"ruled",0.16
"capital",0.15
"ancient",0.13
"became",0.13
"formed",0.11
"later",0.11
"rule",0.11
"dynasty",0.1
"polish",0.1
"regency",0.1
"middle",0.09
"part",0.09
"village'''",0.09
"accept",0.08
"egyptian",0.08
"foreign",0.08
"important",0.08
"king",0.08
"nowadays",0.08
"palace",0.08
"political",0.08
"royal",0.08
"visa",0.08
"autonomous",0.07
"continued",0.07
"countries",0.07
"emperor",0.07
"empire",0.07
"largest",0.07
"occupied",0.07
"period",0.07
"powerful",0.07
"reign",0.07
"rulers",0.07
"second",0.07
"terms",0.07
"territory",0.07
"understood",0.07
