"","first"
"second",0.15
"became",0.14
"built",0.14
"began",0.12
"building",0.12
"opened",0.12
"since",0.12
"years",0.12
"early",0.11
"founded",0.11
"history",0.11
"later",0.11
"modern",0.11
"oldest",0.11
"time",0.11
"century",0.1
"floor",0.1
"left",0.1
"named",0.1
"now",0.1
"started",0.1
"two",0.1
"used",0.1
"war",0.1
"arrived",0.09
"back",0.09
"buildings",0.09
"came",0.09
"class",0.09
"collection",0.09
"cultural",0.09
"european",0.09
"last",0.09
"lived",0.09
"made",0.09
"mentioned",0.09
"name",0.09
"new",0.09
"often",0.09
"open",0.09
"original",0.09
"present",0.09
"settled",0.09
"site",0.09
"still",0.09
"three",0.09
"today",0.09
"took",0.09
"year",0.09
"always",0.08
"american",0.08
"art",0.08
"become",0.08
"business",0.08
"city's",0.08
"completed",0.08
"considered",0.08
"designed",0.08
"destroyed",0.08
"every",0.08
"following",0.08
"given",0.08
"government",0.08
"held",0.08
"historical",0.08
"important",0.08
"late",0.08
"men",0.08
"museum",0.08
"music",0.08
"period",0.08
"remains",0.08
"school",0.08
"settlement",0.08
"settlers",0.08
"third",0.08
"united",0.08
"usually",0.08
"weekend",0.08
"will",0.08
"among",0.07
"another",0.07
"call",0.07
"called",0.07
"changed",0.07
"citizens",0.07
"closed",0.07
"days",0.07
"dedicated",0.07
"empire",0.07
"end",0.07
"especially",0.07
"even",0.07
"followed",0.07
"found",0.07
"free",0.07
"friday",0.07
"hall",0.07
"keep",0.07
"know",0.07
"known",0.07
"may",0.07
"month",0.07
"next",0.07
"october",0.07
"offer",0.07
"one",0.07
"order",0.07
"part",0.07
"right",0.07
"room",0.07
"show",0.07
"shows",0.07
"sunday",0.07
"ticket",0.07
"use",0.07
"work",0.07
"world",0.07
