"","beginner"
"advanced",0.15
"padi",0.15
"lifts",0.14
"terrain",0.14
"powder",0.13
"ski",0.12
"lessons",0.11
"lift",0.11
"snow",0.11
"beginners",0.1
"chair",0.1
"courses",0.1
"expert",0.1
"chalets",0.09
"divers",0.09
"equipment",0.09
"slopes",0.09
"dive",0.08
"dives",0.08
"skiing",0.08
"summit",0.07
