"","sushi"
"japanese",0.22
"restaurant",0.14
"authentic",0.13
"bar",0.13
"blvd",0.13
"downtown",0.13
"dinner",0.12
"italian",0.12
"lunch",0.12
"menu",0.12
"selection",0.12
"upscale",0.12
"avenue",0.11
"delicious",0.11
"mexican",0.11
"american",0.1
"ave",0.1
"bookstore",0.1
"dining",0.1
"featuring",0.1
"food",0.1
"fusion",0.1
"grill",0.1
"live",0.1
"pizza",0.1
"seafood",0.1
"specials",0.1
"steakhouse",0.1
"asian",0.09
"atmosphere",0.09
"cuisine",0.09
"fitness",0.09
"great",0.09
"indoor",0.09
"locations",0.09
"mall",0.09
"movie",0.09
"outdoor",0.09
"patio",0.09
"serves",0.09
"shopping",0.09
"steak",0.09
"street",0.09
"art",0.08
"casual",0.08
"chain",0.08
"chefs",0.08
"city's",0.08
"classic",0.08
"coffee",0.08
"corner",0.08
"dishes",0.08
"dr",0.08
"f-sa",0.08
"features",0.08
"free",0.08
"fresh",0.08
"inn",0.08
"lounge",0.08
"marriott",0.08
"music",0.08
"offers",0.08
"pasta",0.08
"pkwy",0.08
"sandwiches",0.08
"seating",0.08
"suites",0.08
"take-",0.08
"thai",0.08
"variety",0.08
"burger",0.07
"campus",0.07
"college",0.07
"delivery",0.07
"exhibits",0.07
"exit",0.07
"floor",0.07
"jr",0.07
"karaoke",0.07
"signature",0.07
"students",0.07
"theater",0.07
