"","violent"
"crime",0.3
"avoid",0.15
"countries",0.15
"embassies",0.15
"petty",0.15
"theft",0.15
"citizens",0.13
"crimes",0.13
"dangerous",0.13
"political",0.13
"unsafe",0.13
"violence",0.13
"areas",0.12
"common",0.12
"criminal",0.12
"eu",0.12
"police",0.12
"safe",0.12
"situation",0.12
"visas",0.12
"caution",0.11
"especially",0.11
"generally",0.11
"languages",0.11
"poverty",0.11
"problem",0.11
"rarely",0.11
"rate",0.11
"regions",0.11
"risk",0.11
"valuables",0.11
"visa",0.11
"aware",0.1
"card",0.1
"conflict",0.1
"currency",0.1
"drug",0.1
"due",0.1
"embassy",0.1
"foreign",0.1
"issue",0.1
"official",0.1
"problems",0.1
"recent",0.1
"safer",0.1
"safety",0.1
"security",0.1
"sim",0.1
"wise",0.1
"banned",0.09
"cities",0.09
"concern",0.09
"drivers",0.09
"even",0.09
"gang",0.09
"keep",0.09
"language",0.09
"law",0.09
"laws",0.09
"legal",0.09
"money",0.09
"obtain",0.09
"often",0.09
"passport",0.09
"passports",0.09
"politics",0.09
"poor",0.09
"safest",0.09
"ubiquitous",0.09
"unheard",0.09
"united",0.09
"widely",0.09
"accept",0.08
"accepted",0.08
"affected",0.08
"african",0.08
"almost",0.08
"although",0.08
"always",0.08
"cards",0.08
"carry",0.08
"causing",0.08
"certain",0.08
"considered",0.08
"country's",0.08
"depends",0.08
"drunken",0.08
"enforced",0.08
"ethnic",0.08
"exception",0.08
"exercise",0.08
"expensive",0.08
"extremely",0.08
"financial",0.08
"government",0.08
"illegal",0.08
"instead",0.08
"insurance",0.08
"less",0.08
"likely",0.08
"majority",0.08
"may",0.08
"medical",0.08
"nation",0.08
"nation's",0.08
"never",0.08
"notorious",0.08
"occur",0.08
"ongoing",0.08
"parts",0.08
"relatively",0.08
"say",0.08
"seek",0.08
"serious",0.08
"similar",0.08
"sometimes",0.08
"speak",0.08
"spoken",0.08
"states",0.08
"sure",0.08
"tend",0.08
"travel",0.08
"troops",0.08
"urban",0.08
"usually",0.08
"widespread",0.08
"workers",0.08
"airline",0.07
"amtrak",0.07
"applies",0.07
"careful",0.07
"check",0.07
"commonly",0.07
"control",0.07
"dollars",0.07
"driving",0.07
"exchange",0.07
"groups",0.07
"heavy",0.07
"higher",0.07
"highly",0.07
"identity",0.07
"like",0.07
"mexico",0.07
"neighbor",0.07
"numbers",0.07
"officers",0.07
"pay",0.07
"prepaid",0.07
"presence",0.07
"rates",0.07
"republic",0.07
"rules",0.07
"standards",0.07
"system",0.07
"though",0.07
"tipping",0.07
"traffic",0.07
"typically",0.07
"uncommon",0.07
"use",0.07
"without",0.07
