"","structure"
"built",0.14
"tower",0.13
"intricate",0.1
"original",0.1
"structures",0.09
"tallest",0.09
"title",0.09
"brick",0.08
"building",0.08
"lacks",0.08
"man-made",0.08
"monumental",0.08
"period",0.08
"compound",0.07
"oldest",0.07
"permanent",0.07
"religious",0.07
"stone",0.07
"tall",0.07
"used",0.07
