"","indoor"
"outdoor",0.31
"fitness",0.3
"heated",0.19
"pool",0.19
"suites",0.18
"dining",0.17
"free",0.17
"whirlpool",0.16
"inn",0.15
"bar",0.14
"features",0.14
"restaurant",0.14
"sports",0.14
"tennis",0.14
"business",0.13
"su",0.13
"arena",0.12
"basketball",0.12
"breakfast",0.12
"conference",0.12
"downtown",0.12
"exercise",0.12
"f-sa",0.12
"featuring",0.12
"live",0.12
"mall",0.12
"meeting",0.12
"open",0.12
"phone",0.12
"rd",0.12
"seating",0.12
"wireless",0.12
"-site",0.11
"dr",0.11
"games",0.11
"golf",0.11
"hot",0.11
"ice",0.11
"italian",0.11
"miniature",0.11
"offers",0.11
"park",0.11
"play",0.11
"selection",0.11
"shopping",0.11
"skating",0.11
"street",0.11
"swimming",0.11
"acres",0.1
"amusement",0.1
"ave",0.1
"avenue",0.1
"blvd",0.1
"casual",0.1
"center",0.1
"children",0.1
"club",0.1
"courts",0.1
"dinner",0.1
"events",0.1
"exit",0.1
"family",0.1
"fun",0.1
"gift",0.1
"grill",0.1
"lounge",0.1
"marriott",0.1
"menu",0.1
"pro",0.1
"st",0.1
"theatre",0.1
"variety",0.1
"-room",0.09
"art",0.09
"arts",0.09
"banquet",0.09
"campus",0.09
"coffee",0.09
"convention",0.09
"corporate",0.09
"fine",0.09
"full",0.09
"guests",0.09
"high-speed",0.09
"homemade",0.09
"include",0.09
"including",0.09
"movie",0.09
"music",0.09
"pizza",0.09
"playground",0.09
"pub",0.09
"rink",0.09
"room",0.09
"sa",0.09
"stadium",0.09
"sushi",0.09
"admission",0.08
"adults",0.08
"amenities",0.08
"american",0.08
"atmosphere",0.08
"cafe",0.08
"children's",0.08
"closed",0.08
"course",0.08
"cream",0.08
"cuisine",0.08
"decor",0.08
"deli",0.08
"diner",0.08
"exhibits",0.08
"food",0.08
"friday",0.08
"gourmet",0.08
"grille",0.08
"hockey",0.08
"internet",0.08
"kids",0.08
"laundry",0.08
"lunch",0.08
"opened",0.08
"parking",0.08
"patio",0.08
"picnic",0.08
"retail",0.08
"roller",0.08
"sandwiches",0.08
"saturday",0.08
"screen",0.08
"seasonal",0.08
"skate",0.08
"specialty",0.08
"steakhouse",0.08
"steaks",0.08
"store",0.08
"stores",0.08
"symphony",0.08
"themed",0.08
"transit",0.08
"university",0.08
"upscale",0.08
"wide",0.08
"adult",0.07
"ages",0.07
"bands",0.07
"bowling",0.07
"buffet",0.07
"chain",0.07
"classic",0.07
"dance",0.07
"eclectic",0.07
"gallery",0.07
"game",0.07
"grand",0.07
"great",0.07
"home",0.07
"hotel",0.07
"house",0.07
"jacuzzi",0.07
"miles",0.07
"monday",0.07
"pet",0.07
"salads",0.07
"sauna",0.07
"serves",0.07
"shop",0.07
"specials",0.07
"sunday",0.07
"theater",0.07
"thursday",0.07
"vintage",0.07
