"","units"
"aprhigh",0.53
"aprlow",0.53
"aughigh",0.53
"auglow",0.53
"dechigh",0.53
"declow",0.53
"febhigh",0.53
"feblow",0.53
"janlow",0.53
"julhigh",0.53
"jullow",0.53
"junhigh",0.53
"junlow",0.53
"marhigh",0.53
"mayhigh",0.53
"novlow",0.53
"octhigh",0.53
"octlow",0.53
"sephigh",0.53
"seplow",0.53
"aprprecip",0.52
"augprecip",0.52
"decprecip",0.52
"febprecip",0.52
"janhigh",0.52
"junprecip",0.52
"maylow",0.52
"novhigh",0.52
"octprecip",0.52
"sepprecip",0.52
"janprecip",0.51
"julprecip",0.51
"marprecip",0.51
"mayprecip",0.51
"novprecip",0.5
"metric",0.49
"marlow",0.48
"bedroom",0.1
"unit",0.1
"fully",0.09
"motel",0.09
"beachfront",0.07
"climate",0.07
"meals",0.07
"single",0.07
