"","variety"
"wide",0.32
"offers",0.2
"food",0.17
"including",0.17
"menu",0.16
"offer",0.16
"dining",0.15
"offering",0.15
"selection",0.15
"dishes",0.14
"great",0.14
"restaurant",0.14
"shopping",0.14
"bar",0.13
"delicious",0.13
"features",0.13
"lunch",0.13
"popular",0.13
"shops",0.13
"throughout",0.13
"activities",0.12
"available",0.12
"coffee",0.12
"different",0.12
"fresh",0.12
"large",0.12
"live",0.12
"mall",0.12
"outdoor",0.12
"pizza",0.12
"prices",0.12
"sandwiches",0.12
"serves",0.12
"unique",0.12
"atmosphere",0.11
"authentic",0.11
"bars",0.11
"cuisine",0.11
"dinner",0.11
"downtown",0.11
"drinks",0.11
"enjoy",0.11
"events",0.11
"excellent",0.11
"family",0.11
"favorite",0.11
"find",0.11
"friendly",0.11
"full",0.11
"fun",0.11
"include",0.11
"items",0.11
"locations",0.11
"music",0.11
"open",0.11
"quality",0.11
"range",0.11
"ranging",0.11
"seafood",0.11
"shop",0.11
"sports",0.11
"store",0.11
"stores",0.11
"students",0.11
"well",0.11
"always",0.1
"american",0.1
"arts",0.1
"beer",0.1
"chicken",0.1
"choose",0.1
"exotic",0.1
"experience",0.1
"featuring",0.1
"fine",0.1
"free",0.1
"homemade",0.1
"hosts",0.1
"indoor",0.1
"italian",0.1
"many",0.1
"night",0.1
"number",0.1
"options",0.1
"reasonable",0.1
"serve",0.1
"street",0.1
"style",0.1
"try",0.1
"addition",0.09
"areas",0.09
"art",0.09
"baked",0.09
"beers",0.09
"best",0.09
"business",0.09
"casual",0.09
"chain",0.09
"check",0.09
"classes",0.09
"clothing",0.09
"common",0.09
"cream",0.09
"dance",0.09
"especially",0.09
"even",0.09
"every",0.09
"fitness",0.09
"foods",0.09
"found",0.09
"good",0.09
"goods",0.09
"home",0.09
"ice",0.09
"includes",0.09
"kids",0.09
"like",0.09
"local",0.09
"looking",0.09
"make",0.09
"meal",0.09
"often",0.09
"place",0.09
"play",0.09
"prepared",0.09
"provide",0.09
"salad",0.09
"served",0.09
"service",0.09
"serving",0.09
"specials",0.09
"specialty",0.09
"sporting",0.09
"staff",0.09
"sure",0.09
"university",0.09
"upscale",0.09
"vegetarian",0.09
"affordable",0.08
"allows",0.08
"also",0.08
"amenities",0.08
"array",0.08
"asian",0.08
"become",0.08
"boutique",0.08
"breakfast",0.08
"classic",0.08
"clubs",0.08
"college",0.08
"companies",0.08
"complete",0.08
"customers",0.08
"day",0.08
"dish",0.08
"eat",0.08
"event",0.08
"everything",0.08
"flavors",0.08
"floor",0.08
"friday",0.08
"front",0.08
"games",0.08
"generally",0.08
"list",0.08
"locally",0.08
"locals",0.08
"located",0.08
"made",0.08
"mexican",0.08
"mix",0.08
"monthly",0.08
"movie",0.08
"musical",0.08
"nights",0.08
"opened",0.08
"owned",0.08
"park",0.08
"parking",0.08
"party",0.08
"pasta",0.08
"perfect",0.08
"places",0.08
"price",0.08
"priced",0.08
"programs",0.08
"provides",0.08
"public",0.08
"right",0.08
"salads",0.08
"saturday",0.08
"seasonal",0.08
"seating",0.08
"shows",0.08
"special",0.08
"standard",0.08
"steak",0.08
"streets",0.08
"suites",0.08
"sushi",0.08
"table",0.08
"tap",0.08
"theatre",0.08
"types",0.08
"usually",0.08
"varieties",0.08
"vary",0.08
"vendors",0.08
"visitors",0.08
"wine",0.08
"within",0.08
"acres",0.07
"additional",0.07
"amazing",0.07
"among",0.07
"ave",0.07
"birds",0.07
"cafe",0.07
"children",0.07
"choice",0.07
"crowd",0.07
"desserts",0.07
"diverse",0.07
"drink",0.07
"expensive",0.07
"fried",0.07
"game",0.07
"garden",0.07
"gay",0.07
"gourmet",0.07
"grill",0.07
"guests",0.07
"held",0.07
"high",0.07
"huge",0.07
"imported",0.07
"internet",0.07
"keep",0.07
"larger",0.07
"making",0.07
"may",0.07
"meat",0.07
"new",0.07
"newest",0.07
"offered",0.07
"order",0.07
"original",0.07
"parks",0.07
"patrons",0.07
"private",0.07
"pub",0.07
"purchase",0.07
"quick",0.07
"show",0.07
"signature",0.07
"something",0.07
"sometimes",0.07
"start",0.07
"student",0.07
"suite",0.07
"sunday",0.07
"system",0.07
"taste",0.07
"tasty",0.07
"tend",0.07
"trails",0.07
"typically",0.07
"use",0.07
"various",0.07
"venues",0.07
"want",0.07
"watch",0.07
"year",0.07
