"","get"
"can",0.3
"will",0.28
"go",0.26
"way",0.26
"around",0.25
"take",0.25
"need",0.21
"want",0.21
"see",0.2
"ask",0.19
"buy",0.19
"'s",0.18
"find",0.18
"bus",0.17
"make",0.17
"taxi",0.17
"'re",0.16
"best",0.16
"cost",0.16
"next",0.16
"quite",0.16
"sure",0.16
"try",0.16
"'ll",0.15
"drink",0.15
"driver",0.15
"eat",0.15
"getting",0.15
"good",0.15
"might",0.15
"pay",0.15
"price",0.15
"better",0.14
"cheap",0.14
"even",0.14
"going",0.14
"know",0.14
"leave",0.14
"may",0.14
"nice",0.14
"people",0.14
"prices",0.14
"really",0.14
"right",0.14
"sleep",0.14
"stay",0.14
"usually",0.14
"walk",0.14
"able",0.13
"bit",0.13
"come",0.13
"easiest",0.13
"expensive",0.13
"lot",0.13
"place",0.13
"ride",0.13
"time",0.13
"use",0.13
"wait",0.13
"also",0.12
"always",0.12
"anywhere",0.12
"buses",0.12
"costs",0.12
"either",0.12
"food",0.12
"hard",0.12
"just",0.12
"like",0.12
"little",0.12
"locals",0.12
"much",0.12
"option",0.12
"probably",0.12
"rent",0.12
"ticket",0.12
"trip",0.12
"without",0.12
"another",0.11
"avoid",0.11
"back",0.11
"bring",0.11
"catch",0.11
"cheaper",0.11
"cheapest",0.11
"check",0.11
"easy",0.11
"expect",0.11
"give",0.11
"money",0.11
"night",0.11
"one",0.11
"places",0.11
"possible",0.11
"sell",0.11
"stop",0.11
"takes",0.11
"understand",0.11
"unless",0.11
"ways",0.11
"worth",0.11
"big",0.1
"car",0.1
"depending",0.1
"drivers",0.1
"especially",0.1
"gets",0.1
"help",0.1
"hours",0.1
"keep",0.1
"least",0.1
"look",0.1
"lots",0.1
"morning",0.1
"note",0.1
"per",0.1
"pick",0.1
"pretty",0.1
"safe",0.1
"sometimes",0.1
"taking",0.1
"walking",0.1
"advisable",0.09
"although",0.09
"arrange",0.09
"away",0.09
"careful",0.09
"change",0.09
"charge",0.09
"clean",0.09
"couple",0.09
"crowded",0.09
"decent",0.09
"different",0.09
"difficult",0.09
"drinks",0.09
"drop",0.09
"every",0.09
"everything",0.09
"great",0.09
"guide",0.09
"hotels",0.09
"hour",0.09
"idea",0.09
"leaves",0.09
"less",0.09
"let",0.09
"likely",0.09
"looking",0.09
"must",0.09
"often",0.09
"outside",0.09
"person",0.09
"plan",0.09
"remember",0.09
"sit",0.09
"someone",0.09
"something",0.09
"staying",0.09
"taxis",0.09
"tell",0.09
"things",0.09
"tickets",0.09
"tourist",0.09
"train",0.09
"waiting",0.09
"advance",0.08
"almost",0.08
"anything",0.08
"arrive",0.08
"asking",0.08
"aware",0.08
"bars",0.08
"beer",0.08
"boat",0.08
"book",0.08
"budget",0.08
"choose",0.08
"day",0.08
"definitely",0.08
"easier",0.08
"else",0.08
"english",0.08
"enjoy",0.08
"enough",0.08
"everywhere",0.08
"extremely",0.08
"feel",0.08
"foreigners",0.08
"friendly",0.08
"goes",0.08
"hire",0.08
"however",0.08
"inside",0.08
"leaving",0.08
"many",0.08
"mind",0.08
"minutes",0.08
"miss",0.08
"ones",0.08
"order",0.08
"owner",0.08
"passport",0.08
"paying",0.08
"police",0.08
"prepared",0.08
"reach",0.08
"return",0.08
"say",0.08
"sign",0.08
"simply",0.08
"spend",0.08
"staff",0.08
"start",0.08
"station",0.08
"straight",0.08
"terminal",0.08
"thing",0.08
"tourists",0.08
"travel",0.08
"trying",0.08
"visa",0.08
"visit",0.08
"watch",0.08
"whole",0.08
"'ve",0.07
"available",0.07
"called",0.07
"carry",0.07
"chance",0.07
"coming",0.07
"common",0.07
"directly",0.07
"extra",0.07
"far",0.07
"fare",0.07
"fee",0.07
"foreign",0.07
"generally",0.07
"hike",0.07
"hostel",0.07
"instead",0.07
"left",0.07
"local",0.07
"maybe",0.07
"minibus",0.07
"mostly",0.07
"motorbike",0.07
"negotiate",0.07
"nothing",0.07
"plenty",0.07
"private",0.07
"problem",0.07
"put",0.07
"room",0.07
"rooms",0.07
"run",0.07
"save",0.07
"seem",0.07
"shared",0.07
"side",0.07
"stuff",0.07
"talk",0.07
"though",0.07
"tour",0.07
"transport",0.07
"view",0.07
