"","weapons"
"bazaar",0.15
"nuclear",0.14
"shadow",0.14
"brave",0.13
"factories",0.1
"previous",0.1
"strongly",0.1
"helping",0.09
"toys",0.09
"unofficial",0.09
"apparently",0.08
"encouraged",0.07
"peace",0.07
