"","weekend"
"festival",0.17
"held",0.16
"labor",0.15
"event",0.13
"events",0.13
"music",0.13
"saturday",0.13
"annual",0.12
"arts",0.12
"live",0.12
"bands",0.1
"day",0.1
"friday",0.1
"open",0.1
"weekends",0.1
"art",0.09
"artists",0.09
"august",0.09
"every",0.09
"free",0.09
"parking",0.09
"street",0.09
"year",0.09
"bar",0.08
"christmas",0.08
"downtown",0.08
"fireworks",0.08
"first",0.08
"fun",0.08
"getaway",0.08
"hosts",0.08
"inn",0.08
"lunch",0.08
"memorial",0.08
"newspaper",0.08
"outdoor",0.08
"parade",0.08
"play",0.08
"popular",0.08
"st",0.08
"summer",0.08
"sunday",0.08
"canada",0.07
"features",0.07
"featuring",0.07
"games",0.07
"historic",0.07
"june",0.07
"last",0.07
"menu",0.07
"pub",0.07
"store",0.07
