"","suite"
"en",0.21
"deluxe",0.15
"suites",0.15
"junior",0.13
"room",0.13
"rooms",0.12
"bedrooms",0.11
"free",0.11
"wireless",0.11
"breakfast",0.1
"internet",0.1
"restaurant",0.1
"spacious",0.1
"double",0.09
"inn",0.09
"pool",0.09
"bed",0.08
"bedroom",0.08
"dining",0.08
"dinner",0.08
"equipped",0.08
"fitness",0.08
"guest",0.08
"guesthouse",0.08
"laundry",0.08
"private",0.08
"rd",0.08
"tv",0.08
"avenue",0.07
"balcony",0.07
"boutique",0.07
"discounts",0.07
"friendly",0.07
"grill",0.07
"hotel",0.07
"house",0.07
"kitchen",0.07
"lounge",0.07
"mall",0.07
"patio",0.07
"plus",0.07
"standard",0.07
"street",0.07
"variety",0.07
