"","fast"
"food",0.22
"burger",0.1
"chains",0.1
"cheap",0.1
"prices",0.1
"shopping",0.1
"usually",0.1
"always",0.09
"avoid",0.09
"bars",0.09
"business",0.09
"chain",0.09
"find",0.09
"good",0.09
"growing",0.09
"often",0.09
"price",0.09
"quality",0.09
"serve",0.09
"try",0.09
"cheaper",0.08
"chicken",0.08
"chinese",0.08
"clubs",0.08
"companies",0.08
"drivers",0.08
"especially",0.08
"even",0.08
"ferries",0.08
"internet",0.08
"less",0.08
"like",0.08
"mall",0.08
"mostly",0.08
"next",0.08
"pay",0.08
"paying",0.08
"pizza",0.08
"places",0.08
"slow",0.08
"taxi",0.08
"travel",0.08
"well",0.08
"almost",0.07
"another",0.07
"best",0.07
"cost",0.07
"cuisine",0.07
"different",0.07
"every",0.07
"exchange",0.07
"found",0.07
"generally",0.07
"lines",0.07
"malls",0.07
"many",0.07
"may",0.07
"note",0.07
"number",0.07
"options",0.07
"quite",0.07
"restaurant",0.07
"ticket",0.07
"tickets",0.07
"valid",0.07
