"","york"
"new",0.41
"ny",0.35
"liberty",0.28
"jersey",0.27
"kennedy",0.24
"congestion",0.23
"penn",0.2
"county",0.18
"finger",0.15
"'''new",0.14
"cabs",0.14
"fares",0.14
"united",0.14
"amtrak",0.13
"cars",0.13
"parkway",0.13
"route",0.13
"state",0.13
"transit",0.13
"diner",0.12
"american",0.11
"authority",0.11
"brook",0.11
"downtown",0.11
"haven",0.11
"interstate",0.11
"pkwy",0.11
"plains",0.11
"service",0.11
"township",0.11
"turnpike",0.11
"ave",0.1
"avenue",0.1
"baseball",0.1
"college",0.1
"exit",0.1
"historic",0.1
"john",0.1
"lawrence",0.1
"major",0.1
"pizza",0.1
"railroad",0.1
"vending",0.1
"washington",0.1
"airports",0.09
"home",0.09
"mall",0.09
"performing",0.09
"areas",0.08
"arts",0.08
"boston",0.08
"buffalo",0.08
"closest",0.08
"commuter",0.08
"deli",0.08
"frank",0.08
"george",0.08
"inn",0.08
"italian",0.08
"miles",0.08
"offers",0.08
"ontario",0.08
"phone",0.08
"rt",0.08
"state's",0.08
"states",0.08
"street",0.08
"su",0.08
"upscale",0.08
"airport'''",0.07
"basketball",0.07
"center",0.07
"dining",0.07
"library",0.07
"mansion",0.07
"metro",0.07
"pizzeria",0.07
"rd",0.07
"st",0.07
"stores",0.07
"tavern",0.07
"union",0.07
"wings",0.07
