"","grande"
"rio",0.31
"porto",0.24
"da",0.2
"dos",0.18
"das",0.15
"de",0.14
"municipal",0.13
"africa",0.12
"brazilian",0.12
"avenida",0.1
"centro",0.1
"default",0.1
"maria",0.1
"parque",0.08
"immigrants",0.07
"santo",0.07
