"","one"
"can",0.17
"two",0.15
"best",0.14
"many",0.13
"another",0.12
"find",0.12
"places",0.12
"around",0.11
"beautiful",0.11
"famous",0.11
"get",0.11
"least",0.11
"like",0.11
"make",0.11
"oldest",0.11
"place",0.11
"time",0.11
"will",0.11
"also",0.1
"different",0.1
"made",0.1
"may",0.1
"people",0.1
"'s",0.09
"called",0.09
"even",0.09
"largest",0.09
"quite",0.09
"see",0.09
"tourist",0.09
"try",0.09
"visit",0.09
"well",0.09
"almost",0.08
"always",0.08
"ask",0.08
"back",0.08
"better",0.08
"biggest",0.08
"buy",0.08
"cities",0.08
"considered",0.08
"cost",0.08
"day",0.08
"enjoy",0.08
"every",0.08
"go",0.08
"good",0.08
"important",0.08
"known",0.08
"look",0.08
"might",0.08
"much",0.08
"pay",0.08
"several",0.08
"stay",0.08
"still",0.08
"temple",0.08
"temples",0.08
"three",0.08
"top",0.08
"want",0.08
"way",0.08
"world",0.08
"especially",0.07
"expensive",0.07
"first",0.07
"hour",0.07
"less",0.07
"lot",0.07
"means",0.07
"often",0.07
"popular",0.07
"prices",0.07
"really",0.07
"since",0.07
"takes",0.07
"taxi",0.07
"trip",0.07
"usually",0.07
