"","germans"
"german",0.23
"germany",0.15
"war",0.14
"polish",0.12
"lose",0.1
"russia",0.1
"albert",0.09
"jewish",0.09
"finally",0.08
"world",0.08
"fought",0.07
"languages",0.07
"writer",0.07
