"","thailand"
"bangkok",0.4
"thai",0.38
"baht",0.37
"si",0.25
"malaysian",0.24
"ban",0.22
"air-con",0.18
"malaysia",0.18
"hong",0.16
"border",0.15
"hat",0.14
"embassies",0.12
"provinces",0.12
"buddha",0.11
"duty",0.11
"elephant",0.11
"motorbike",0.11
"motorcycle",0.11
"vip",0.11
"visa",0.11
"massage",0.1
"tribe",0.1
"crossing",0.09
"guesthouse",0.09
"passport",0.09
"son",0.09
"temples",0.09
"triangle",0.09
"bungalows",0.08
"fan",0.08
"motorbikes",0.08
"province",0.08
"rd",0.08
"rice",0.08
"sleep",0.08
"stall",0.08
"stalls",0.08
"causing",0.07
"gateway",0.07
"gulf",0.07
"hwy",0.07
"nov",0.07
"passports",0.07
"terminal",0.07
