"","gift"
"shop",0.24
"gifts",0.12
"store",0.12
"features",0.11
"homemade",0.11
"featuring",0.1
"indoor",0.1
"inn",0.1
"phone",0.1
"sells",0.1
"st",0.1
"street",0.1
"admission",0.09
"dining",0.09
"exhibits",0.09
"historic",0.09
"items",0.09
"open",0.09
"picnic",0.09
"salon",0.09
"-site",0.08
"acres",0.08
"antiques",0.08
"ave",0.08
"barn",0.08
"campground",0.08
"clothing",0.08
"coffee",0.08
"cream",0.08
"family",0.08
"fitness",0.08
"free",0.08
"gourmet",0.08
"ice",0.08
"lunch",0.08
"miles",0.08
"offers",0.08
"orchestra",0.08
"original",0.08
"outdoor",0.08
"selection",0.08
"su",0.08
"visitor",0.08
"american",0.07
"bar",0.07
"exhibit",0.07
"gallery",0.07
"grill",0.07
"guided",0.07
"home",0.07
"live",0.07
"motel",0.07
"park",0.07
"pet",0.07
"restaurant",0.07
"shops",0.07
"snack",0.07
"soups",0.07
