"","laundry"
"internet",0.18
"cable",0.14
"free",0.13
"rooms",0.13
"tv",0.13
"wireless",0.13
"breakfast",0.12
"coin",0.12
"dorm",0.12
"fitness",0.12
"room",0.12
"bathrooms",0.11
"equipped",0.11
"wi-fi",0.11
"wifi",0.11
"cleaning",0.1
"deposit",0.1
"facilities",0.1
"friendly",0.1
"plaza",0.1
"private",0.1
"business",0.09
"coffee",0.09
"deluxe",0.09
"dorms",0.09
"double",0.09
"dvd",0.09
"guest",0.09
"hostel",0.09
"kitchen",0.09
"pets",0.09
"pool",0.09
"rooftop",0.09
"staff",0.09
"suites",0.09
"-room",0.08
"amenities",0.08
"bathroom",0.08
"beds",0.08
"blocks",0.08
"clean",0.08
"electric",0.08
"fully",0.08
"furnished",0.08
"heated",0.08
"hot",0.08
"indoor",0.08
"lcd",0.08
"massage",0.08
"shared",0.08
"shower",0.08
"suite",0.08
"whirlpool",0.08
"corner",0.07
"floor",0.07
"full",0.07
"helpful",0.07
"lockers",0.07
"night",0.07
"start",0.07
"toilet",0.07
