"","self"
"catering",0.46
"contained",0.32
"catered",0.19
"cottages",0.17
"holiday",0.16
"cottage",0.15
"sleeps",0.13
"farmhouse",0.12
"bedrooms",0.11
"wales",0.09
"cape",0.08
"caravan",0.08
"chalets",0.08
"fully",0.08
"lodge",0.08
"apartments",0.07
"bedroom",0.07
"guest",0.07
"secluded",0.07
"views",0.07
