"","grapes"
"wines",0.22
"wine",0.2
"grape",0.16
"cellars",0.13
"tasting",0.11
"vineyards",0.11
"aged",0.09
"grown",0.09
"soil",0.09
"vineyard",0.09
"wineries",0.09
"winery",0.09
"dry",0.08
"made",0.08
"sweet",0.08
"cellar",0.07
"immigrants",0.07
