"","lunch"
"dinner",0.35
"menu",0.23
"breakfast",0.22
"restaurant",0.2
"buffet",0.17
"dining",0.17
"specials",0.17
"open",0.16
"sandwiches",0.16
"bar",0.15
"casual",0.15
"food",0.15
"serves",0.15
"cafe",0.14
"coffee",0.14
"selection",0.14
"great",0.13
"homemade",0.13
"live",0.13
"pizza",0.13
"variety",0.13
"brunch",0.12
"delicious",0.12
"fresh",0.12
"full",0.12
"gourmet",0.12
"italian",0.12
"offers",0.12
"outdoor",0.12
"patio",0.12
"serving",0.12
"shop",0.12
"sunday",0.12
"sushi",0.12
"baked",0.11
"chef",0.11
"deli",0.11
"diner",0.11
"dishes",0.11
"free",0.11
"friday",0.11
"friendly",0.11
"grill",0.11
"meal",0.11
"music",0.11
"night",0.11
"salads",0.11
"saturday",0.11
"st",0.11
"store",0.11
"street",0.11
"take-",0.11
"vegetarian",0.11
"atmosphere",0.1
"authentic",0.1
"bistro",0.1
"blvd",0.1
"closed",0.1
"cuisine",0.1
"excellent",0.1
"family",0.1
"favorite",0.1
"features",0.1
"featuring",0.1
"lounge",0.1
"mexican",0.1
"monday",0.1
"offer",0.1
"parking",0.1
"pasta",0.1
"pizzas",0.1
"pub",0.1
"rd",0.1
"reasonable",0.1
"right",0.1
"salad",0.1
"seafood",0.1
"seating",0.1
"steak",0.1
"style",0.1
"american",0.09
"available",0.09
"ave",0.09
"bakery",0.09
"carte",0.09
"classic",0.09
"course",0.09
"cream",0.09
"downtown",0.09
"drinks",0.09
"entrees",0.09
"fine",0.09
"fun",0.09
"good",0.09
"ice",0.09
"inn",0.09
"intimate",0.09
"kitchen",0.09
"nice",0.09
"owned",0.09
"priced",0.09
"prices",0.09
"room",0.09
"soups",0.09
"su",0.09
"tasty",0.09
"tour",0.09
"tours",0.09
"wide",0.09
"arts",0.08
"assortment",0.08
"bbq",0.08
"beer",0.08
"beers",0.08
"best",0.08
"block",0.08
"books",0.08
"call",0.08
"chicken",0.08
"corner",0.08
"cozy",0.08
"crowd",0.08
"daily",0.08
"day",0.08
"deck",0.08
"eat",0.08
"end",0.08
"enjoy",0.08
"evening",0.08
"floor",0.08
"gallery",0.08
"gift",0.08
"happy",0.08
"house",0.08
"includes",0.08
"including",0.08
"indoor",0.08
"items",0.08
"jazz",0.08
"kids",0.08
"light",0.08
"lunches",0.08
"mall",0.08
"meals",0.08
"nightly",0.08
"nights",0.08
"noon",0.08
"phone",0.08
"place",0.08
"pool",0.08
"prepared",0.08
"quality",0.08
"quick",0.08
"rooms",0.08
"sa",0.08
"sandwich",0.08
"sells",0.08
"serve",0.08
"served",0.08
"shopping",0.08
"special",0.08
"specialty",0.08
"spot",0.08
"staff",0.08
"table",0.08
"tables",0.08
"upstairs",0.08
"watch",0.08
"weekend",0.08
"wine",0.08
"'ll",0.07
"afternoon",0.07
"art",0.07
"avenue",0.07
"boutique",0.07
"burgers",0.07
"business",0.07
"check",0.07
"choice",0.07
"club",0.07
"counter",0.07
"delivery",0.07
"desserts",0.07
"dinners",0.07
"door",0.07
"espresso",0.07
"f-sa",0.07
"fitness",0.07
"flavors",0.07
"grab",0.07
"just",0.07
"locations",0.07
"mains",0.07
"make",0.07
"offered",0.07
"offering",0.07
"order",0.07
"organic",0.07
"packed",0.07
"pastas",0.07
"pastries",0.07
"picnic",0.07
"plus",0.07
"portions",0.07
"service",0.07
"signature",0.07
"students",0.07
"try",0.07
"upscale",0.07
"value",0.07
"wireless",0.07
