"","kitchen"
"breakfast",0.14
"hostel",0.14
"equipped",0.13
"room",0.13
"bathroom",0.12
"dvd",0.12
"free",0.12
"restaurant",0.12
"tv",0.12
"internet",0.11
"rooms",0.11
"table",0.11
"bar",0.1
"bed",0.1
"bedrooms",0.1
"beds",0.1
"dining",0.1
"dorm",0.1
"dorms",0.1
"double",0.1
"menu",0.1
"private",0.1
"spacious",0.1
"cafe",0.09
"cooking",0.09
"food",0.09
"friendly",0.09
"full",0.09
"house",0.09
"laundry",0.09
"lounge",0.09
"lunch",0.09
"pool",0.09
"terrace",0.09
"coffee",0.08
"excellent",0.08
"facilities",0.08
"floor",0.08
"front",0.08
"fully",0.08
"guests",0.08
"nice",0.08
"open",0.08
"patio",0.08
"per",0.08
"selection",0.08
"sleeps",0.08
"staff",0.08
"suites",0.08
"wireless",0.08
"authentic",0.07
"dinner",0.07
"great",0.07
"guest",0.07
"live",0.07
"living",0.07
"music",0.07
"night",0.07
"organic",0.07
"outdoor",0.07
"quiet",0.07
"renovated",0.07
"shared",0.07
"suite",0.07
"wi-fi",0.07
