"","selection"
"bar",0.2
"menu",0.2
"wide",0.2
"beers",0.18
"food",0.18
"restaurant",0.16
"beer",0.15
"excellent",0.15
"good",0.15
"live",0.15
"music",0.15
"offers",0.15
"pub",0.15
"shop",0.15
"variety",0.15
"atmosphere",0.14
"coffee",0.14
"lunch",0.14
"store",0.14
"books",0.13
"free",0.13
"friendly",0.13
"great",0.13
"large",0.13
"open",0.13
"sandwiches",0.13
"serves",0.13
"street",0.13
"bars",0.12
"dining",0.12
"dishes",0.12
"drinks",0.12
"fine",0.12
"italian",0.12
"lounge",0.12
"prices",0.12
"quality",0.12
"salads",0.12
"sushi",0.12
"baked",0.11
"cafe",0.11
"crowd",0.11
"features",0.11
"floor",0.11
"fresh",0.11
"imported",0.11
"including",0.11
"indoor",0.11
"nights",0.11
"outdoor",0.11
"parking",0.11
"pizza",0.11
"pool",0.11
"reasonable",0.11
"saturday",0.11
"seating",0.11
"serving",0.11
"shopping",0.11
"shops",0.11
"specials",0.11
"staff",0.11
"stores",0.11
"style",0.11
"vegetarian",0.11
"always",0.1
"american",0.1
"art",0.1
"authentic",0.1
"best",0.1
"boutique",0.1
"breakfast",0.1
"burgers",0.1
"casual",0.1
"chain",0.1
"clothing",0.1
"cuisine",0.1
"decent",0.1
"decor",0.1
"delicious",0.1
"dinner",0.1
"downtown",0.1
"extensive",0.1
"featuring",0.1
"friday",0.1
"fries",0.1
"full",0.1
"fun",0.1
"gourmet",0.1
"grill",0.1
"homemade",0.1
"items",0.1
"market",0.1
"night",0.1
"offer",0.1
"offering",0.1
"patio",0.1
"plus",0.1
"relaxed",0.1
"room",0.1
"selections",0.1
"specialty",0.1
"table",0.1
"tables",0.1
"tasty",0.1
"upscale",0.1
"bakery",0.09
"bistro",0.09
"bookstore",0.09
"classic",0.09
"club",0.09
"cream",0.09
"dance",0.09
"drink",0.09
"entrees",0.09
"every",0.09
"family",0.09
"favorite",0.09
"games",0.09
"garden",0.09
"happy",0.09
"house",0.09
"jazz",0.09
"jewelry",0.09
"kids",0.09
"little",0.09
"local",0.09
"looking",0.09
"meal",0.09
"next",0.09
"often",0.09
"pasta",0.09
"play",0.09
"popular",0.09
"range",0.09
"right",0.09
"seafood",0.09
"sells",0.09
"service",0.09
"sports",0.09
"st",0.09
"student",0.09
"students",0.09
"tap",0.09
"value",0.09
"well",0.09
"wine",0.09
"wines",0.09
"across",0.08
"arts",0.08
"available",0.08
"ave",0.08
"bands",0.08
"behind",0.08
"bit",0.08
"block",0.08
"brews",0.08
"brunch",0.08
"building",0.08
"busy",0.08
"cheap",0.08
"chef",0.08
"chicken",0.08
"children's",0.08
"cinema",0.08
"cocktail",0.08
"cocktails",0.08
"coffees",0.08
"collection",0.08
"corner",0.08
"cozy",0.08
"deli",0.08
"designed",0.08
"designer",0.08
"directly",0.08
"door",0.08
"draft",0.08
"eclectic",0.08
"elegant",0.08
"enjoy",0.08
"evening",0.08
"events",0.08
"everything",0.08
"expensive",0.08
"favorites",0.08
"find",0.08
"floors",0.08
"freshly",0.08
"gallery",0.08
"gift",0.08
"goods",0.08
"high",0.08
"ice",0.08
"internet",0.08
"just",0.08
"kitchen",0.08
"lively",0.08
"locally",0.08
"locations",0.08
"lots",0.08
"mall",0.08
"meat",0.08
"modern",0.08
"nice",0.08
"nightclub",0.08
"opened",0.08
"owned",0.08
"pick",0.08
"pizzas",0.08
"place",0.08
"priced",0.08
"quick",0.08
"ranging",0.08
"reasonably",0.08
"rooms",0.08
"sandwich",0.08
"selling",0.08
"serve",0.08
"show",0.08
"sit",0.08
"slightly",0.08
"something",0.08
"soups",0.08
"streets",0.08
"sunday",0.08
"sure",0.08
"theatre",0.08
"throughout",0.08
"try",0.08
"unique",0.08
"university",0.08
"vegan",0.08
"venue",0.08
"watch",0.08
"young",0.08
"addition",0.07
"affordable",0.07
"ales",0.07
"asian",0.07
"book",0.07
"bread",0.07
"business",0.07
"cakes",0.07
"campus",0.07
"cheaper",0.07
"check",0.07
"choice",0.07
"clubs",0.07
"craft",0.07
"customers",0.07
"end",0.07
"especially",0.07
"evenings",0.07
"fairly",0.07
"fantastic",0.07
"feature",0.07
"finest",0.07
"fried",0.07
"gifts",0.07
"grocery",0.07
"helpful",0.07
"includes",0.07
"inn",0.07
"late",0.07
"limited",0.07
"look",0.07
"meats",0.07
"mix",0.07
"movie",0.07
"options",0.07
"order",0.07
"playing",0.07
"products",0.07
"rd",0.07
"real",0.07
"recently",0.07
"rooftop",0.07
"sa",0.07
"sell",0.07
"signature",0.07
"steak",0.07
"steaks",0.07
"tavern",0.07
"themed",0.07
"vintage",0.07
"weekends",0.07
"wireless",0.07
