"","horseshoe"
"volleyball",0.23
"picnic",0.18
"primitive",0.18
"pet",0.16
"ohio",0.15
"playground",0.15
"basketball",0.13
"launch",0.12
"electric",0.11
"dock",0.1
"bass",0.09
"bc",0.09
"casino",0.09
"columbus",0.09
"concession",0.09
"hollow",0.09
"electrical",0.08
"sr",0.08
"acre",0.07
"county",0.07
"sixth",0.07
