"","medieval"
"gothic",0.24
"church",0.19
"castle",0.18
"century",0.17
"cathedral",0.15
"roman",0.14
"della",0.13
"di",0.13
"europe",0.13
"preserved",0.13
"baroque",0.12
"castles",0.12
"romanesque",0.12
"tower",0.12
"town",0.12
"walls",0.12
"old",0.11
"piazza",0.11
"ancient",0.1
"built",0.1
"centre",0.1
"european",0.1
"fortified",0.1
"german",0.1
"middle",0.1
"abbey",0.09
"biggest",0.09
"centuries",0.09
"fortress",0.09
"important",0.09
"painter",0.09
"polish",0.09
"rome",0.09
"rue",0.09
"ruins",0.09
"sea",0.09
"towers",0.09
"train",0.09
"walled",0.09
"worldwide",0.09
"ages",0.08
"buildings",0.08
"churches",0.08
"dei",0.08
"des",0.08
"meter",0.08
"modern",0.08
"oldest",0.08
"ruin",0.08
"saint",0.08
"square",0.08
"streets",0.08
"wines",0.08
"basilica",0.07
"became",0.07
"city",0.07
"et",0.07
"hall",0.07
"houses",0.07
"imposing",0.07
"palaces",0.07
"rebuilt",0.07
"wall",0.07
