"","looking"
"'re",0.17
"great",0.13
"something",0.13
"always",0.12
"find",0.12
"look",0.12
"offer",0.12
"bars",0.11
"food",0.11
"make",0.11
"place",0.11
"prices",0.11
"right",0.11
"atmosphere",0.1
"best",0.1
"even",0.1
"expensive",0.1
"just",0.1
"night",0.1
"options",0.1
"really",0.1
"try",0.1
"want",0.1
"whether",0.1
"will",0.1
"'ll",0.09
"'s",0.09
"anyone",0.09
"bar",0.09
"check",0.09
"drinks",0.09
"enjoy",0.09
"especially",0.09
"everything",0.09
"expect",0.09
"feel",0.09
"friendly",0.09
"fun",0.09
"get",0.09
"go",0.09
"good",0.09
"keep",0.09
"know",0.09
"like",0.09
"little",0.09
"money",0.09
"offers",0.09
"often",0.09
"perfect",0.09
"price",0.09
"selection",0.09
"shops",0.09
"sure",0.09
"tend",0.09
"usually",0.09
"variety",0.09
"worth",0.09
"amazing",0.08
"back",0.08
"better",0.08
"bit",0.08
"cheap",0.08
"cheaper",0.08
"choose",0.08
"clothing",0.08
"clubs",0.08
"come",0.08
"crowd",0.08
"day",0.08
"definitely",0.08
"dining",0.08
"drink",0.08
"excellent",0.08
"front",0.08
"full",0.08
"generally",0.08
"hard",0.08
"items",0.08
"live",0.08
"locals",0.08
"makes",0.08
"many",0.08
"may",0.08
"meal",0.08
"menu",0.08
"might",0.08
"much",0.08
"nice",0.08
"nightlife",0.08
"pay",0.08
"places",0.08
"plenty",0.08
"quality",0.08
"quite",0.08
"relaxed",0.08
"sell",0.08
"shopping",0.08
"sit",0.08
"staff",0.08
"stay",0.08
"stores",0.08
"things",0.08
"well",0.08
"around",0.07
"ask",0.07
"avoid",0.07
"bring",0.07
"charge",0.07
"customers",0.07
"delicious",0.07
"depending",0.07
"different",0.07
"eat",0.07
"experience",0.07
"extremely",0.07
"friends",0.07
"getting",0.07
"mind",0.07
"music",0.07
"note",0.07
"people",0.07
"popular",0.07
"quick",0.07
"range",0.07
"restaurant",0.07
"see",0.07
"spend",0.07
"taking",0.07
"time",0.07
"tourists",0.07
"without",0.07
"younger",0.07
