"","family"
"owned",0.17
"restaurant",0.16
"fun",0.14
"dining",0.13
"friendly",0.13
"great",0.13
"house",0.13
"menu",0.12
"pizza",0.12
"bar",0.11
"dinner",0.11
"homemade",0.11
"offers",0.11
"open",0.11
"variety",0.11
"atmosphere",0.1
"breakfast",0.1
"children",0.1
"diner",0.1
"food",0.1
"golf",0.1
"indoor",0.1
"italian",0.1
"lunch",0.1
"members",0.1
"outdoor",0.1
"rd",0.1
"shop",0.1
"style",0.1
"cream",0.09
"deli",0.09
"families",0.09
"free",0.09
"games",0.09
"kids",0.09
"live",0.09
"lounge",0.09
"phone",0.09
"pool",0.09
"right",0.09
"room",0.09
"selection",0.09
"street",0.09
"suites",0.09
"activities",0.08
"adults",0.08
"authentic",0.08
"ave",0.08
"bed",0.08
"casual",0.08
"club",0.08
"course",0.08
"delicious",0.08
"enjoy",0.08
"events",0.08
"excellent",0.08
"experience",0.08
"farm",0.08
"features",0.08
"fresh",0.08
"friends",0.08
"full",0.08
"gift",0.08
"gifts",0.08
"grill",0.08
"including",0.08
"inn",0.08
"offer",0.08
"offering",0.08
"park",0.08
"perfect",0.08
"play",0.08
"private",0.08
"pub",0.08
"rooms",0.08
"sandwiches",0.08
"saturday",0.08
"school",0.08
"seating",0.08
"sports",0.08
"st",0.08
"store",0.08
"tennis",0.08
"wide",0.08
"acres",0.07
"arts",0.07
"children's",0.07
"cuisine",0.07
"downtown",0.07
"favorite",0.07
"featuring",0.07
"garden",0.07
"gourmet",0.07
"ice",0.07
"irish",0.07
"original",0.07
"picnic",0.07
"quality",0.07
"specials",0.07
"swimming",0.07
"year",0.07
