"","baseball"
"league",0.32
"basketball",0.22
"soccer",0.2
"team",0.19
"minor",0.16
"downtown",0.13
"games",0.13
"fame",0.12
"stadium",0.12
"football",0.11
"hockey",0.11
"home",0.11
"pepper",0.11
"pro",0.11
"american",0.1
"ave",0.1
"avenue",0.1
"field",0.1
"grill",0.1
"park",0.1
"playground",0.1
"tennis",0.1
"united",0.1
"york",0.1
"arts",0.09
"college",0.09
"mall",0.09
"movie",0.09
"new",0.09
"school",0.09
"selections",0.09
"street",0.09
"blvd",0.08
"campus",0.08
"casual",0.08
"featuring",0.08
"fireworks",0.08
"friday",0.08
"inn",0.08
"interstate",0.08
"jersey",0.08
"mexican",0.08
"phone",0.08
"picnic",0.08
"play",0.08
"plays",0.08
"sports",0.08
"state",0.08
"theater",0.08
"throughout",0.08
"university",0.08
"amtrak",0.07
"athletic",0.07
"dr",0.07
"events",0.07
"features",0.07
"library",0.07
"outdoor",0.07
"parks",0.07
"pizza",0.07
"teams",0.07
"upscale",0.07
"volleyball",0.07
"whenever",0.07
