"","spas"
"spa",0.25
"thermal",0.21
"presence",0.16
"finds",0.11
"romans",0.11
"emperor",0.1
"zones",0.1
"applied",0.09
"emerged",0.09
"represents",0.09
"san",0.09
"baths",0.08
"dei",0.08
"marking",0.08
"springs",0.08
"adjoining",0.07
"creation",0.07
"rome",0.07
