"","citadel"
"badly",0.14
"earthquake",0.14
"turkish",0.13
"ottoman",0.12
"ancient",0.11
"byzantine",0.1
"dating",0.1
"baba",0.09
"extend",0.09
"islamic",0.09
"mosque",0.09
"suffered",0.09
"fortified",0.08
"december",0.07
"plans",0.07
