"","period"
"became",0.11
"built",0.11
"dates",0.1
"later",0.1
"took",0.1
"century",0.09
"dynasty",0.09
"rule",0.09
"ruled",0.09
"years",0.09
"ancient",0.08
"building",0.08
"centuries",0.08
"dating",0.08
"emperor",0.08
"first",0.08
"history",0.08
"important",0.08
"mosque",0.08
"occupied",0.08
"remains",0.08
"started",0.08
"structure",0.08
"used",0.08
"war",0.08
"according",0.07
"age",0.07
"buildings",0.07
"date",0.07
"dressed",0.07
"early",0.07
"empire",0.07
"honour",0.07
"kingdom",0.07
"part",0.07
"stone",0.07
"young",0.07
