"","wellness"
"thermal",0.17
"spa",0.14
"tradition",0.12
"hungarian",0.11
"precious",0.11
"celtic",0.08
"swimming",0.08
"thousands",0.08
"austrian",0.07
"baroque",0.07
"cellar",0.07
"valuable",0.07
