"","cost"
"costs",0.24
"taxi",0.24
"will",0.23
"pay",0.21
"per",0.21
"taxis",0.21
"price",0.2
"ask",0.19
"buses",0.19
"driver",0.19
"bus",0.18
"expensive",0.18
"leave",0.18
"prices",0.18
"around",0.17
"cheaper",0.17
"drivers",0.17
"ticket",0.17
"trip",0.17
"cheap",0.16
"depending",0.16
"get",0.16
"takes",0.16
"tickets",0.16
"buy",0.15
"charge",0.15
"expect",0.15
"may",0.15
"night",0.15
"take",0.15
"usually",0.15
"can",0.14
"cheapest",0.14
"hours",0.14
"internet",0.14
"money",0.14
"option",0.14
"person",0.14
"ride",0.14
"better",0.13
"clean",0.13
"even",0.13
"exchange",0.13
"go",0.13
"leaves",0.13
"rooms",0.13
"sell",0.13
"terminal",0.13
"try",0.13
"want",0.13
"always",0.12
"another",0.12
"atms",0.12
"avoid",0.12
"card",0.12
"change",0.12
"depart",0.12
"departure",0.12
"drinks",0.12
"fare",0.12
"find",0.12
"foreign",0.12
"generally",0.12
"journey",0.12
"less",0.12
"make",0.12
"might",0.12
"need",0.12
"passport",0.12
"quite",0.12
"rate",0.12
"return",0.12
"room",0.12
"run",0.12
"shared",0.12
"staff",0.12
"station",0.12
"visa",0.12
"wait",0.12
"accept",0.11
"advance",0.11
"although",0.11
"bargain",0.11
"beware",0.11
"budget",0.11
"cards",0.11
"dollars",0.11
"double",0.11
"english",0.11
"extra",0.11
"fee",0.11
"food",0.11
"foreigners",0.11
"going",0.11
"higher",0.11
"hotels",0.11
"least",0.11
"low",0.11
"note",0.11
"passengers",0.11
"pick",0.11
"sim",0.11
"speak",0.11
"start",0.11
"stay",0.11
"sure",0.11
"tell",0.11
"time",0.11
"travel",0.11
"waiting",0.11
"'s",0.1
"able",0.1
"airlines",0.1
"amount",0.1
"anywhere",0.1
"arrange",0.1
"available",0.1
"bars",0.1
"basic",0.1
"bit",0.1
"book",0.1
"buying",0.1
"charged",0.1
"check",0.1
"companies",0.1
"currency",0.1
"dorm",0.1
"drop",0.1
"either",0.1
"every",0.1
"faster",0.1
"fixed",0.1
"give",0.1
"good",0.1
"hotel",0.1
"hour",0.1
"know",0.1
"like",0.1
"little",0.1
"locals",0.1
"look",0.1
"luggage",0.1
"minibus",0.1
"minibuses",0.1
"minutes",0.1
"morning",0.1
"much",0.1
"negotiate",0.1
"offer",0.1
"often",0.1
"paying",0.1
"prepaid",0.1
"rates",0.1
"require",0.1
"single",0.1
"slightly",0.1
"sometimes",0.1
"tend",0.1
"though",0.1
"use",0.1
"visas",0.1
"walk",0.1
"way",0.1
"without",0.1
"additional",0.09
"almost",0.09
"asking",0.09
"atm",0.09
"aware",0.09
"bathroom",0.09
"booking",0.09
"careful",0.09
"catch",0.09
"charges",0.09
"consider",0.09
"costing",0.09
"credit",0.09
"crowded",0.09
"day",0.09
"direct",0.09
"dishes",0.09
"drink",0.09
"embassy",0.09
"entrance",0.09
"especially",0.09
"far",0.09
"fares",0.09
"flights",0.09
"floor",0.09
"free",0.09
"friendly",0.09
"front",0.09
"getting",0.09
"guide",0.09
"helpful",0.09
"inside",0.09
"instead",0.09
"keep",0.09
"leaving",0.09
"longer",0.09
"meal",0.09
"must",0.09
"next",0.09
"nice",0.09
"normal",0.09
"one-way",0.09
"operate",0.09
"opposite",0.09
"outside",0.09
"owner",0.09
"paid",0.09
"people",0.09
"plan",0.09
"police",0.09
"possible",0.09
"purchase",0.09
"purchased",0.09
"rice",0.09
"right",0.09
"safe",0.09
"save",0.09
"say",0.09
"seem",0.09
"selling",0.09
"sold",0.09
"tourists",0.09
"touts",0.09
"two",0.09
"typically",0.09
"unless",0.09
"usd",0.09
"value",0.09
"worth",0.09
"'ll",0.08
"'re",0.08
"agree",0.08
"air",0.08
"air-con",0.08
"also",0.08
"arrival",0.08
"arrive",0.08
"arriving",0.08
"asked",0.08
"average",0.08
"away",0.08
"back",0.08
"bargaining",0.08
"beer",0.08
"behind",0.08
"best",0.08
"board",0.08
"booked",0.08
"bottle",0.08
"cafes",0.08
"cash",0.08
"chinese",0.08
"clearly",0.08
"common",0.08
"consulate",0.08
"countries",0.08
"decent",0.08
"departing",0.08
"directly",0.08
"distance",0.08
"domestic",0.08
"electronic",0.08
"enter",0.08
"entry",0.08
"european",0.08
"everywhere",0.08
"feel",0.08
"found",0.08
"gets",0.08
"given",0.08
"half",0.08
"hand",0.08
"hard",0.08
"help",0.08
"hire",0.08
"hostel",0.08
"hot",0.08
"however",0.08
"idea",0.08
"insist",0.08
"jr",0.08
"let",0.08
"likely",0.08
"limited",0.08
"lot",0.08
"means",0.08
"min",0.08
"motorbike",0.08
"office",0.08
"one",0.08
"operators",0.08
"options",0.08
"ordinary",0.08
"overnight",0.08
"payment",0.08
"pesos",0.08
"places",0.08
"prepared",0.08
"private",0.08
"probably",0.08
"quoted",0.08
"rarely",0.08
"rather",0.08
"really",0.08
"reasonable",0.08
"refuse",0.08
"reliable",0.08
"remember",0.08
"rp",0.08
"seats",0.08
"security",0.08
"see",0.08
"side",0.08
"similar",0.08
"simple",0.08
"sit",0.08
"someone",0.08
"stalls",0.08
"standard",0.08
"stop",0.08
"taking",0.08
"times",0.08
"top",0.08
"tour",0.08
"tourist",0.08
"trains",0.08
"trips",0.08
"upon",0.08
"using",0.08
"valid",0.08
"vendors",0.08
"whereas",0.08
"wifi",0.08
"women",0.08
"work",0.08
"advisable",0.07
"agencies",0.07
"bags",0.07
"blocks",0.07
"bring",0.07
"cab",0.07
"calle",0.07
"carry",0.07
"charging",0.07
"clubs",0.07
"come",0.07
"compared",0.07
"couple",0.07
"daily",0.07
"decide",0.07
"departures",0.07
"different",0.07
"discount",0.07
"discounted",0.07
"eat",0.07
"everything",0.07
"expat",0.07
"extremely",0.07
"fairly",0.07
"fancy",0.07
"fast",0.07
"fill",0.07
"flies",0.07
"flight",0.07
"foreigner",0.07
"fried",0.07
"imported",0.07
"japan",0.07
"just",0.07
"made",0.07
"maximum",0.07
"meat",0.07
"mind",0.07
"normally",0.07
"notes",0.07
"number",0.07
"official",0.07
"problem",0.07
"regular",0.07
"rent",0.07
"serve",0.07
"set",0.07
"staying",0.07
"tax",0.07
"towards",0.07
"train",0.07
"transfer",0.07
"transfers",0.07
"transport",0.07
"travellers",0.07
"trying",0.07
"twice",0.07
"vary",0.07
"vegetarian",0.07
"yellow",0.07
