"","behind"
"building",0.11
"front",0.11
"left",0.11
"next",0.11
"walk",0.11
"floor",0.1
"just",0.1
"look",0.1
"right",0.1
"staff",0.1
"bit",0.09
"find",0.09
"food",0.09
"free",0.09
"friendly",0.09
"good",0.09
"little",0.09
"make",0.09
"nice",0.09
"night",0.09
"office",0.09
"opposite",0.09
"pay",0.09
"prices",0.09
"side",0.09
"sure",0.09
"will",0.09
"'s",0.08
"across",0.08
"always",0.08
"another",0.08
"ask",0.08
"back",0.08
"beer",0.08
"book",0.08
"buy",0.08
"cheaper",0.08
"clean",0.08
"coffee",0.08
"cost",0.08
"door",0.08
"end",0.08
"english",0.08
"entrance",0.08
"even",0.08
"expect",0.08
"expensive",0.08
"head",0.08
"internet",0.08
"large",0.08
"leave",0.08
"locals",0.08
"open",0.08
"parking",0.08
"past",0.08
"price",0.08
"quality",0.08
"quite",0.08
"really",0.08
"room",0.08
"rooms",0.08
"see",0.08
"selection",0.08
"set",0.08
"shop",0.08
"sometimes",0.08
"streets",0.08
"style",0.08
"top",0.08
"try",0.08
"usually",0.08
"want",0.08
"without",0.08
"work",0.08
"worth",0.08
"'ll",0.07
"'re",0.07
"almost",0.07
"away",0.07
"bars",0.07
"better",0.07
"charge",0.07
"corner",0.07
"costs",0.07
"crowd",0.07
"decent",0.07
"directly",0.07
"go",0.07
"great",0.07
"inside",0.07
"know",0.07
"modern",0.07
"money",0.07
"note",0.07
"outside",0.07
"per",0.07
"sell",0.07
"ticket",0.07
"turn",0.07
"waiting",0.07
