"","coffee"
"shop",0.22
"cafe",0.17
"food",0.14
"free",0.14
"lunch",0.14
"selection",0.14
"tea",0.14
"bar",0.13
"breakfast",0.13
"cup",0.13
"espresso",0.13
"restaurant",0.13
"baked",0.12
"bakery",0.12
"internet",0.12
"music",0.12
"variety",0.12
"beans",0.11
"business",0.11
"fresh",0.11
"friendly",0.11
"live",0.11
"menu",0.11
"pastries",0.11
"pizza",0.11
"sandwiches",0.11
"serves",0.11
"shopping",0.11
"shops",0.11
"store",0.11
"street",0.11
"vegetarian",0.11
"always",0.1
"atmosphere",0.1
"chicken",0.1
"corner",0.1
"cream",0.1
"delicious",0.1
"downtown",0.1
"excellent",0.1
"floor",0.1
"gourmet",0.1
"great",0.1
"homemade",0.1
"house",0.1
"night",0.1
"offer",0.1
"open",0.1
"room",0.1
"try",0.1
"wifi",0.1
"art",0.09
"beer",0.09
"best",0.09
"bookstore",0.09
"cakes",0.09
"chain",0.09
"cuisine",0.09
"dining",0.09
"drinks",0.09
"full",0.09
"good",0.09
"grill",0.09
"hair",0.09
"indoor",0.09
"laundry",0.09
"lounge",0.09
"massage",0.09
"offers",0.09
"place",0.09
"price",0.09
"quality",0.09
"rd",0.09
"rooms",0.09
"seating",0.09
"serve",0.09
"staff",0.09
"starbucks",0.09
"students",0.09
"tasty",0.09
"university",0.09
"wireless",0.09
"arts",0.08
"ask",0.08
"authentic",0.08
"bean",0.08
"behind",0.08
"books",0.08
"boutique",0.08
"buffet",0.08
"cheap",0.08
"check",0.08
"chinese",0.08
"chocolate",0.08
"classic",0.08
"club",0.08
"college",0.08
"company",0.08
"decor",0.08
"dinner",0.08
"dishes",0.08
"door",0.08
"drink",0.08
"enjoy",0.08
"favorite",0.08
"feel",0.08
"fitness",0.08
"freshly",0.08
"front",0.08
"gift",0.08
"hot",0.08
"ice",0.08
"iced",0.08
"including",0.08
"italian",0.08
"kitchen",0.08
"like",0.08
"mall",0.08
"meat",0.08
"next",0.08
"nice",0.08
"offering",0.08
"organic",0.08
"outdoor",0.08
"owned",0.08
"pay",0.08
"prices",0.08
"right",0.08
"roasted",0.08
"salad",0.08
"salads",0.08
"saturday",0.08
"sell",0.08
"sells",0.08
"serving",0.08
"st",0.08
"style",0.08
"sushi",0.08
"thai",0.08
"tv",0.08
"upstairs",0.08
"wi-fi",0.08
"wide",0.08
"across",0.07
"available",0.07
"ave",0.07
"block",0.07
"blocks",0.07
"cafes",0.07
"campus",0.07
"classes",0.07
"cozy",0.07
"customers",0.07
"deli",0.07
"every",0.07
"fare",0.07
"find",0.07
"gallery",0.07
"happy",0.07
"hotel",0.07
"kinds",0.07
"large",0.07
"light",0.07
"local",0.07
"look",0.07
"lots",0.07
"made",0.07
"market",0.07
"meals",0.07
"order",0.07
"parking",0.07
"patio",0.07
"play",0.07
"plays",0.07
"pool",0.07
"private",0.07
"rates",0.07
"rooftop",0.07
"seafood",0.07
"selling",0.07
"sit",0.07
"student",0.07
"sweet",0.07
"tables",0.07
"upscale",0.07
