"","mile"
"miles",0.25
"phone",0.13
"inn",0.12
"trail",0.12
"marker",0.11
"west",0.11
"acres",0.1
"park",0.1
"county",0.09
"creek",0.09
"north",0.09
"parking",0.09
"picnic",0.09
"rd",0.09
"state",0.09
"street",0.09
"acre",0.08
"avenue",0.08
"casual",0.08
"downtown",0.08
"drive",0.08
"features",0.08
"florida",0.08
"house",0.08
"hwy",0.08
"open",0.08
"pub",0.08
"trails",0.08
"ales",0.07
"ave",0.07
"bar",0.07
"diner",0.07
"farm",0.07
"feet",0.07
"historic",0.07
"south",0.07
"sr",0.07
"st",0.07
"vacation",0.07
"victorian",0.07
"visitor",0.07
