"","run"
"buses",0.19
"trains",0.18
"bus",0.13
"runs",0.13
"station",0.13
"cost",0.12
"day",0.12
"every",0.12
"services",0.12
"walk",0.12
"frequently",0.11
"friendly",0.11
"per",0.11
"tickets",0.11
"cheap",0.1
"expensive",0.1
"ferries",0.1
"good",0.1
"hour",0.1
"minutes",0.1
"operate",0.1
"prices",0.1
"service",0.1
"taxis",0.1
"train",0.1
"advance",0.09
"book",0.09
"centre",0.09
"cheaper",0.09
"excellent",0.09
"fare",0.09
"frequent",0.09
"generally",0.09
"hourly",0.09
"line",0.09
"local",0.09
"make",0.09
"may",0.09
"next",0.09
"night",0.09
"pay",0.09
"regular",0.09
"regularly",0.09
"stops",0.09
"times",0.09
"will",0.09
"although",0.08
"always",0.08
"around",0.08
"ask",0.08
"available",0.08
"best",0.08
"change",0.08
"check",0.08
"clean",0.08
"costs",0.08
"end",0.08
"english",0.08
"even",0.08
"evening",0.08
"exchange",0.08
"expect",0.08
"express",0.08
"fairly",0.08
"fares",0.08
"food",0.08
"free",0.08
"hostel",0.08
"jr",0.08
"just",0.08
"less",0.08
"limited",0.08
"little",0.08
"often",0.08
"opposite",0.08
"outside",0.08
"pubs",0.08
"ride",0.08
"running",0.08
"staff",0.08
"stations",0.08
"stop",0.08
"sure",0.08
"taxi",0.08
"transfer",0.08
"trip",0.08
"twice",0.08
"use",0.08
"views",0.08
"walking",0.08
"well",0.08
"worth",0.08
"atmosphere",0.07
"bar",0.07
"better",0.07
"busses",0.07
"companies",0.07
"couple",0.07
"daily",0.07
"depending",0.07
"direct",0.07
"drinks",0.07
"drivers",0.07
"extra",0.07
"get",0.07
"great",0.07
"including",0.07
"journey",0.07
"leave",0.07
"nice",0.07
"note",0.07
"open",0.07
"pick",0.07
"return",0.07
"serving",0.07
"set",0.07
"several",0.07
"slightly",0.07
"start",0.07
"takes",0.07
"terminal",0.07
"throughout",0.07
"ticket",0.07
"way",0.07
