"","phone"
"inn",0.42
"street",0.31
"st",0.29
"avenue",0.22
"miles",0.22
"motel",0.22
"ave",0.21
"rd",0.2
"interstate",0.17
"restaurant",0.17
"suites",0.17
"county",0.16
"drive",0.16
"grill",0.16
"highway",0.16
"route",0.16
"state",0.16
"downtown",0.15
"exit",0.15
"hwy",0.15
"north",0.15
"park",0.15
"pizza",0.15
"bed",0.14
"house",0.14
"us",0.14
"west",0.14
"blvd",0.13
"boston",0.13
"cafe",0.13
"dr",0.13
"historic",0.13
"mile",0.13
"rv",0.13
"steakhouse",0.13
"acres",0.12
"bar",0.12
"diner",0.12
"east",0.12
"golf",0.12
"indoor",0.12
"mexican",0.12
"tavern",0.12
"antiques",0.11
"deli",0.11
"dining",0.11
"grille",0.11
"lane",0.11
"outdoor",0.11
"ranch",0.11
"road",0.11
"south",0.11
"steak",0.11
"texas",0.11
"acre",0.1
"american",0.1
"antique",0.1
"arts",0.1
"campground",0.1
"center",0.1
"college",0.1
"fitness",0.1
"gift",0.1
"lodge",0.1
"open",0.1
"parkway",0.1
"pub",0.1
"railroad",0.1
"saturday",0.1
"se",0.1
"store",0.1
"washington",0.1
"boulevard",0.09
"breakfast",0.09
"broadway",0.09
"creek",0.09
"depot",0.09
"express",0.09
"family",0.09
"features",0.09
"featuring",0.09
"gourmet",0.09
"marriott",0.09
"memorial",0.09
"mill",0.09
"ne",0.09
"ohio",0.09
"picnic",0.09
"sandwiches",0.09
"shop",0.09
"turnpike",0.09
"airport'''",0.08
"barn",0.08
"baseball",0.08
"cabin",0.08
"casual",0.08
"chamber",0.08
"classic",0.08
"club",0.08
"commerce",0.08
"cottage",0.08
"country",0.08
"dinner",0.08
"drive-",0.08
"exits",0.08
"farm",0.08
"favorite",0.08
"gallery",0.08
"johnson",0.08
"live",0.08
"lunch",0.08
"mall",0.08
"monday",0.08
"museum",0.08
"new",0.08
"nw",0.08
"pet",0.08
"pkwy",0.08
"queen",0.08
"saloon",0.08
"sr",0.08
"steaks",0.08
"su",0.08
"sunday",0.08
"sw",0.08
"transit",0.08
"victorian",0.08
"york",0.08
"bistro",0.07
"box",0.07
"burgers",0.07
"columbus",0.07
"convention",0.07
"free",0.07
"friday",0.07
"homemade",0.07
"labor",0.07
"lincoln",0.07
"lounge",0.07
"ma",0.07
"oak",0.07
"pm",0.07
"recreation",0.07
"society",0.07
"specials",0.07
"sports",0.07
"theatre",0.07
"trail",0.07
"virginia",0.07
