"","terrace"
"terraces",0.14
"rooms",0.12
"balcony",0.11
"rooftop",0.11
"room",0.11
"bathroom",0.1
"double",0.1
"nice",0.1
"pool",0.1
"restaurant",0.1
"bar",0.09
"breakfast",0.09
"free",0.09
"friendly",0.09
"kitchen",0.09
"view",0.09
"views",0.09
"villa",0.09
"walk",0.09
"apartments",0.08
"cosy",0.08
"dishes",0.08
"equipped",0.08
"hotel",0.08
"internet",0.08
"lovely",0.08
"quiet",0.08
"roof",0.08
"spacious",0.08
"stylish",0.08
"apartment",0.07
"atmosphere",0.07
"courtyard",0.07
"decorated",0.07
"floors",0.07
"garden",0.07
"good",0.07
"next",0.07
"satellite",0.07
"staff",0.07
"tv",0.07
"wifi",0.07
