"","later"
"became",0.22
"came",0.13
"century",0.12
"built",0.11
"first",0.11
"kingdom",0.11
"name",0.11
"rule",0.11
"building",0.1
"captured",0.1
"erected",0.1
"founded",0.1
"now",0.1
"originally",0.1
"part",0.1
"period",0.1
"still",0.1
"took",0.1
"used",0.1
"years",0.1
"appointed",0.09
"early",0.09
"emperor",0.09
"important",0.09
"present",0.09
"rebuilt",0.09
"remains",0.09
"ruled",0.09
"time",0.09
"according",0.08
"among",0.08
"appeared",0.08
"began",0.08
"called",0.08
"changed",0.08
"conquered",0.08
"destroyed",0.08
"discovered",0.08
"due",0.08
"dynasty",0.08
"following",0.08
"history",0.08
"last",0.08
"means",0.08
"modern",0.08
"moved",0.08
"named",0.08
"occupied",0.08
"oldest",0.08
"order",0.08
"original",0.08
"palace",0.08
"reign",0.08
"resulted",0.08
"role",0.08
"site",0.08
"war",0.08
"ancient",0.07
"another",0.07
"back",0.07
"brought",0.07
"buildings",0.07
"earlier",0.07
"empire",0.07
"finally",0.07
"form",0.07
"former",0.07
"gothic",0.07
"king",0.07
"known",0.07
"late",0.07
"removed",0.07
"since",0.07
"started",0.07
