"","costs"
"takes",0.26
"ticket",0.25
"cost",0.24
"taxi",0.19
"bus",0.18
"pay",0.17
"per",0.17
"trip",0.17
"leave",0.16
"price",0.16
"buses",0.15
"depending",0.15
"journey",0.15
"ride",0.15
"tickets",0.15
"ask",0.14
"cheaper",0.14
"driver",0.14
"one-way",0.14
"prices",0.14
"return",0.14
"taxis",0.14
"hours",0.13
"leaves",0.13
"station",0.13
"visa",0.13
"will",0.13
"around",0.12
"buy",0.12
"can",0.12
"charge",0.12
"cheap",0.12
"drivers",0.12
"expensive",0.12
"get",0.12
"accept",0.11
"card",0.11
"cards",0.11
"cheapest",0.11
"day",0.11
"depart",0.11
"english",0.11
"every",0.11
"foreign",0.11
"internet",0.11
"nice",0.11
"night",0.11
"paid",0.11
"passengers",0.11
"passport",0.11
"person",0.11
"shared",0.11
"single",0.11
"take",0.11
"terminal",0.11
"train",0.11
"want",0.11
"atms",0.1
"avoid",0.1
"companies",0.1
"costing",0.1
"departure",0.1
"double",0.1
"exchange",0.1
"expect",0.1
"fee",0.1
"go",0.1
"hour",0.1
"make",0.1
"may",0.1
"minutes",0.1
"money",0.1
"next",0.1
"note",0.1
"option",0.1
"room",0.1
"sell",0.1
"sure",0.1
"try",0.1
"valid",0.1
"walk",0.1
"'s",0.09
"advance",0.09
"another",0.09
"bit",0.09
"bought",0.09
"buying",0.09
"change",0.09
"charged",0.09
"class",0.09
"clean",0.09
"consulate",0.09
"currency",0.09
"departing",0.09
"departs",0.09
"drinks",0.09
"entrance",0.09
"even",0.09
"extra",0.09
"fare",0.09
"find",0.09
"floor",0.09
"foreigners",0.09
"free",0.09
"front",0.09
"going",0.09
"half",0.09
"hotel",0.09
"least",0.09
"luggage",0.09
"might",0.09
"minibuses",0.09
"need",0.09
"opposite",0.09
"paying",0.09
"pesos",0.09
"possible",0.09
"quite",0.09
"rooms",0.09
"speak",0.09
"staff",0.09
"start",0.09
"tax",0.09
"time",0.09
"times",0.09
"travel",0.09
"use",0.09
"usually",0.09
"visas",0.09
"without",0.09
"'ll",0.08
"'re",0.08
"able",0.08
"additional",0.08
"almost",0.08
"although",0.08
"always",0.08
"arrive",0.08
"arrives",0.08
"arriving",0.08
"aware",0.08
"better",0.08
"book",0.08
"booking",0.08
"budget",0.08
"check",0.08
"coins",0.08
"credit",0.08
"dishes",0.08
"drink",0.08
"either",0.08
"entry",0.08
"especially",0.08
"european",0.08
"fixed",0.08
"flight",0.08
"generally",0.08
"good",0.08
"helpful",0.08
"higher",0.08
"hotels",0.08
"jr",0.08
"keep",0.08
"know",0.08
"leaving",0.08
"longer",0.08
"look",0.08
"min",0.08
"minibus",0.08
"modern",0.08
"negotiate",0.08
"often",0.08
"outside",0.08
"people",0.08
"purchased",0.08
"rather",0.08
"run",0.08
"see",0.08
"selling",0.08
"sim",0.08
"sleeper",0.08
"sold",0.08
"sometimes",0.08
"speaks",0.08
"stop",0.08
"surcharge",0.08
"taking",0.08
"tell",0.08
"tourist",0.08
"unless",0.08
"unlimited",0.08
"vip",0.08
"wait",0.08
"way",0.08
"whole",0.08
"wifi",0.08
"yen",0.08
"air-con",0.07
"also",0.07
"bathroom",0.07
"behind",0.07
"beware",0.07
"board",0.07
"consider",0.07
"countries",0.07
"crowded",0.07
"different",0.07
"discount",0.07
"faster",0.07
"found",0.07
"help",0.07
"hostel",0.07
"just",0.07
"less",0.07
"let",0.07
"likely",0.07
"little",0.07
"lot",0.07
"meat",0.07
"morning",0.07
"normal",0.07
"online",0.07
"rate",0.07
"regardless",0.07
"seats",0.07
"simply",0.07
"slightly",0.07
"starting",0.07
"trains",0.07
"two",0.07
"using",0.07
