"","maria"
"santa",0.24
"di",0.17
"della",0.16
"piazza",0.15
"del",0.14
"da",0.13
"centro",0.12
"de",0.12
"dei",0.11
"san",0.11
"baroque",0.1
"filmed",0.1
"grande",0.1
"luis",0.1
"santo",0.1
"'''san",0.09
"ceramic",0.09
"churches",0.09
"basilica",0.08
"monte",0.08
"paintings",0.08
"pieces",0.08
"precious",0.08
"rome",0.08
"das",0.07
"dos",0.07
"frescoes",0.07
"il",0.07
"roman",0.07
