"","transit"
"downtown",0.19
"authority",0.18
"jersey",0.16
"avenue",0.15
"service",0.15
"system",0.15
"amtrak",0.13
"ave",0.13
"usa",0.13
"york",0.13
"greyhound",0.12
"interstate",0.12
"mall",0.12
"public",0.12
"regional",0.12
"routes",0.12
"terminals",0.12
"blvd",0.11
"campus",0.11
"fare",0.11
"inn",0.11
"ontario",0.11
"united",0.11
"washington",0.11
"american",0.1
"boulevard",0.1
"canada",0.1
"college",0.1
"county",0.1
"dr",0.1
"new",0.1
"provides",0.1
"street",0.1
"university",0.1
"business",0.09
"center",0.09
"commuter",0.09
"corridor",0.09
"fares",0.09
"liberty",0.09
"metro",0.09
"operates",0.09
"rapid",0.09
"rush",0.09
"stops",0.09
"suites",0.09
"arts",0.08
"california",0.08
"canadian",0.08
"connects",0.08
"drive",0.08
"east",0.08
"exit",0.08
"express",0.08
"f-sa",0.08
"features",0.08
"fitness",0.08
"francisco",0.08
"free",0.08
"highway",0.08
"indoor",0.08
"jefferson",0.08
"league",0.08
"lines",0.08
"major",0.08
"marriott",0.08
"page",0.08
"parkway",0.08
"penn",0.08
"phone",0.08
"rd",0.08
"route",0.08
"runs",0.08
"seniors",0.08
"shopping",0.08
"sound",0.08
"state",0.08
"suburban",0.08
"throughout",0.08
"trails",0.08
"transfer",0.08
"angeles",0.07
"areas",0.07
"cab",0.07
"convention",0.07
"deli",0.07
"games",0.07
"grill",0.07
"hockey",0.07
"home",0.07
"including",0.07
"park",0.07
"points",0.07
"rail",0.07
"shuttle",0.07
"st",0.07
"trolley",0.07
"upscale",0.07
