"","transport"
"public",0.25
"bus",0.14
"buses",0.14
"tickets",0.12
"card",0.11
"network",0.11
"services",0.11
"ticket",0.11
"travel",0.11
"around",0.1
"bought",0.1
"driver",0.1
"mode",0.1
"offices",0.1
"search",0.1
"advisable",0.09
"arrange",0.09
"available",0.09
"centre",0.09
"credit",0.09
"drivers",0.09
"hire",0.09
"need",0.09
"operate",0.09
"operators",0.09
"pay",0.09
"railway",0.09
"regular",0.09
"taxi",0.09
"tourist",0.09
"valid",0.09
"avoid",0.08
"bangkok",0.08
"can",0.08
"cheaper",0.08
"european",0.08
"expensive",0.08
"getting",0.08
"however",0.08
"hub",0.08
"journey",0.08
"means",0.08
"passengers",0.08
"possible",0.08
"taxis",0.08
"tourists",0.08
"trains",0.08
"travelling",0.08
"use",0.08
"will",0.08
"better",0.07
"change",0.07
"cost",0.07
"direct",0.07
"distance",0.07
"due",0.07
"get",0.07
"important",0.07
"leave",0.07
"may",0.07
"mobile",0.07
"organized",0.07
"police",0.07
"price",0.07
"prices",0.07
"rickshaws",0.07
"safe",0.07
"terminal",0.07
"time",0.07
"train",0.07
