"","couple"
"walk",0.11
"'s",0.1
"good",0.1
"'ll",0.09
"ask",0.09
"decent",0.09
"even",0.09
"expect",0.09
"expensive",0.09
"get",0.09
"just",0.09
"much",0.09
"nice",0.09
"pay",0.09
"spend",0.09
"will",0.09
"'re",0.08
"around",0.08
"back",0.08
"better",0.08
"bit",0.08
"blocks",0.08
"cheaper",0.08
"end",0.08
"find",0.08
"friendly",0.08
"hotels",0.08
"internet",0.08
"locals",0.08
"look",0.08
"need",0.08
"probably",0.08
"quite",0.08
"really",0.08
"try",0.08
"want",0.08
"always",0.07
"bars",0.07
"cheap",0.07
"clean",0.07
"cost",0.07
"food",0.07
"give",0.07
"go",0.07
"help",0.07
"like",0.07
"little",0.07
"loads",0.07
"make",0.07
"might",0.07
"night",0.07
"prices",0.07
"rooms",0.07
"run",0.07
"small",0.07
"sometimes",0.07
"stay",0.07
"trip",0.07
"usually",0.07
