"","tent"
"tents",0.17
"camping",0.16
"rv",0.16
"pitch",0.14
"bare",0.13
"campground",0.12
"camp",0.11
"caravan",0.1
"campsites",0.08
"showers",0.08
"sites",0.08
"cabins",0.07
"campsite",0.07
