"","highway"
"hwy",0.19
"motel",0.18
"state",0.17
"inn",0.16
"north",0.16
"phone",0.16
"us",0.16
"interstate",0.15
"ave",0.14
"highways",0.14
"miles",0.14
"south",0.14
"west",0.14
"canada",0.13
"drive",0.13
"canadian",0.12
"east",0.12
"california",0.11
"creek",0.11
"downtown",0.11
"ranch",0.11
"rv",0.11
"st",0.11
"texas",0.11
"exit",0.1
"greyhound",0.1
"mexican",0.1
"ontario",0.1
"motels",0.09
"pacific",0.09
"pioneer",0.09
"scenic",0.09
"campground",0.08
"canyon",0.08
"county",0.08
"national",0.08
"provincial",0.08
"steakhouse",0.08
"street",0.08
"trail",0.08
"transit",0.08
"alaska",0.07
"connects",0.07
"dr",0.07
"lake",0.07
"park",0.07
