"","cargo"
"captain",0.16
"ships",0.15
"vessels",0.14
"afford",0.13
"amounts",0.13
"ft",0.11
"reportedly",0.09
"guard",0.08
"guy",0.08
"port",0.08
"removed",0.08
"ship",0.08
"boat",0.07
"operations",0.07
"passenger",0.07
"plane",0.07
"relative",0.07
"trucks",0.07
