"","miles"
"mile",0.25
"phone",0.22
"state",0.22
"county",0.21
"inn",0.2
"interstate",0.2
"west",0.2
"north",0.19
"us",0.18
"east",0.17
"south",0.16
"st",0.16
"acres",0.14
"ave",0.14
"highway",0.14
"park",0.14
"downtown",0.13
"exit",0.13
"historic",0.13
"acre",0.12
"creek",0.12
"hwy",0.12
"primitive",0.12
"railroad",0.12
"ranch",0.12
"rv",0.12
"street",0.12
"trail",0.12
"american",0.11
"amtrak",0.11
"california",0.11
"campground",0.11
"golf",0.11
"labor",0.11
"mexican",0.11
"recreation",0.11
"trails",0.11
"avenue",0.1
"dr",0.1
"feet",0.1
"motel",0.1
"southwest",0.1
"texas",0.1
"united",0.1
"bed",0.09
"blvd",0.09
"country",0.09
"depot",0.09
"dining",0.09
"features",0.09
"grill",0.09
"home",0.09
"house",0.09
"picnic",0.09
"rd",0.09
"route",0.09
"sr",0.09
"victorian",0.09
"washington",0.09
"antiques",0.08
"bar",0.08
"diner",0.08
"featuring",0.08
"gift",0.08
"lane",0.08
"lodging",0.08
"memorial",0.08
"national",0.08
"northwest",0.08
"onto",0.08
"outdoor",0.08
"pet",0.08
"pike",0.08
"pizza",0.08
"states",0.08
"york",0.08
"antique",0.07
"basketball",0.07
"bend",0.07
"box",0.07
"children",0.07
"clark",0.07
"commerce",0.07
"community",0.07
"deli",0.07
"indoor",0.07
"john",0.07
"junction",0.07
"located",0.07
"london",0.07
"open",0.07
"parkway",0.07
"pets",0.07
"southeast",0.07
"suites",0.07
"wildlife",0.07
