"","hostel"
"youth",0.36
"dorm",0.25
"dorms",0.23
"hostels",0.15
"kitchen",0.14
"walk",0.13
"beds",0.12
"double",0.12
"per",0.12
"room",0.12
"rooms",0.12
"staff",0.12
"breakfast",0.11
"clean",0.11
"free",0.11
"friendly",0.11
"internet",0.11
"night",0.11
"prices",0.11
"private",0.11
"shared",0.11
"bed",0.1
"lockers",0.1
"nice",0.1
"person",0.1
"bit",0.09
"dormitory",0.09
"good",0.09
"included",0.09
"laundry",0.09
"na",0.09
"next",0.09
"owner",0.09
"pesos",0.09
"price",0.09
"terminal",0.09
"ticket",0.09
"wifi",0.09
"ask",0.08
"backpacker",0.08
"blocks",0.08
"book",0.08
"booking",0.08
"budget",0.08
"bus",0.08
"buses",0.08
"centre",0.08
"cheap",0.08
"close",0.08
"comfy",0.08
"cost",0.08
"expensive",0.08
"great",0.08
"helpful",0.08
"hotel",0.08
"minutes",0.08
"music",0.08
"run",0.08
"single",0.08
"start",0.08
"tours",0.08
"try",0.08
"tv",0.08
"view",0.08
"bathroom",0.07
"building",0.07
"calle",0.07
"cheaper",0.07
"costs",0.07
"cosy",0.07
"cozy",0.07
"del",0.07
"doubles",0.07
"driver",0.07
"equipped",0.07
"excellent",0.07
"get",0.07
"meals",0.07
"right",0.07
"tickets",0.07
"views",0.07
"walking",0.07
"want",0.07
