"","arrive"
"leave",0.13
"depart",0.12
"will",0.12
"arriving",0.1
"may",0.1
"pay",0.1
"sure",0.1
"without",0.1
"ask",0.09
"drivers",0.09
"expect",0.09
"make",0.09
"might",0.09
"need",0.09
"passengers",0.09
"passport",0.09
"sometimes",0.09
"ticket",0.09
"tickets",0.09
"travellers",0.09
"usually",0.09
"visitors",0.09
"wait",0.09
"want",0.09
"'ll",0.08
"'re",0.08
"advance",0.08
"avoid",0.08
"book",0.08
"bus",0.08
"buses",0.08
"buy",0.08
"cheap",0.08
"cost",0.08
"costs",0.08
"day",0.08
"depending",0.08
"driver",0.08
"either",0.08
"especially",0.08
"even",0.08
"expensive",0.08
"get",0.08
"getting",0.08
"likely",0.08
"much",0.08
"possible",0.08
"prices",0.08
"taxi",0.08
"tourists",0.08
"travel",0.08
"trip",0.08
"try",0.08
"waiting",0.08
"able",0.07
"although",0.07
"arrival",0.07
"better",0.07
"departure",0.07
"exchange",0.07
"find",0.07
"leaving",0.07
"luggage",0.07
"money",0.07
"must",0.07
"night",0.07
"note",0.07
"often",0.07
"prepared",0.07
"price",0.07
"return",0.07
"speak",0.07
"take",0.07
