"","baht"
"thai",0.54
"bangkok",0.5
"air-con",0.39
"thailand",0.37
"ban",0.29
"bungalows",0.25
"fan",0.22
"motorbike",0.22
"motorbikes",0.2
"si",0.19
"bungalow",0.16
"pier",0.15
"motorcycle",0.13
"rd",0.13
"buddha",0.12
"guesthouse",0.12
"hat",0.12
"minibus",0.12
"understand",0.12
"massage",0.11
"min",0.11
"reign",0.11
"resort",0.11
"sleep",0.11
"lotus",0.1
"pick-",0.1
"terminal",0.1
"vip",0.1
"boat",0.09
"gulf",0.09
"km",0.09
"stalls",0.09
"wi-fi",0.09
"beach",0.08
"boats",0.08
"don",0.08
"elephant",0.08
"hong",0.08
"hwy",0.08
"king",0.08
"mid-range",0.08
"moon",0.08
"son",0.08
"triangle",0.08
"tribe",0.08
"chill",0.07
"coconut",0.07
"dive",0.07
"diving",0.07
"floating",0.07
"huts",0.07
"noise",0.07
"villas",0.07
"wikipedia",0.07
