"","last"
"years",0.11
"usually",0.1
"ask",0.09
"every",0.09
"first",0.09
"leaves",0.09
"may",0.09
"often",0.09
"still",0.09
"avoid",0.08
"back",0.08
"building",0.08
"drivers",0.08
"especially",0.08
"even",0.08
"later",0.08
"least",0.08
"left",0.08
"money",0.08
"note",0.08
"now",0.08
"pay",0.08
"probably",0.08
"since",0.08
"sometimes",0.08
"ticket",0.08
"time",0.08
"two",0.08
"used",0.08
"will",0.08
"already",0.07
"cards",0.07
"check",0.07
"end",0.07
"expect",0.07
"extra",0.07
"find",0.07
"given",0.07
"late",0.07
"make",0.07
"might",0.07
"music",0.07
"next",0.07
"price",0.07
"though",0.07
"tickets",0.07
"top",0.07
"using",0.07
"weekend",0.07
"year",0.07
