"","noodle"
"soup",0.22
"noodles",0.19
"sauce",0.17
"chinese",0.14
"roasted",0.13
"spicy",0.13
"vietnamese",0.13
"fried",0.12
"rice",0.12
"dishes",0.11
"beef",0.1
"dong",0.1
"egg",0.1
"indonesia",0.1
"peanut",0.1
"slices",0.1
"curry",0.09
"duck",0.09
"han",0.09
"jalan",0.09
"pork",0.09
"shrimp",0.09
"chili",0.08
"culinary",0.08
"dish",0.08
"dried",0.08
"indonesian",0.08
"japanese",0.08
"malaysia",0.08
"pagoda",0.08
"asian",0.07
"chicken",0.07
"coconut",0.07
"hong",0.07
"meat",0.07
"stall",0.07
"stalls",0.07
"sweet",0.07
"wrapped",0.07
