"","mountain"
"mountains",0.28
"ski",0.24
"highest",0.19
"skiing",0.19
"alpine",0.18
"biking",0.18
"hiking",0.18
"snow",0.18
"peaks",0.16
"trails",0.15
"climbing",0.14
"scenic",0.14
"slopes",0.14
"valley",0.14
"winter",0.14
"hike",0.13
"mount",0.13
"peak",0.13
"summit",0.13
"elevation",0.12
"ranges",0.12
"lifts",0.11
"range",0.11
"scenery",0.11
"terrain",0.11
"valleys",0.11
"views",0.11
"alps",0.1
"altitude",0.1
"canyon",0.1
"hikes",0.1
"lake",0.1
"lift",0.1
"lodge",0.1
"national",0.1
"resort",0.1
"steep",0.1
"top",0.1
"trail",0.1
"beautiful",0.09
"cabin",0.09
"climb",0.09
"forest",0.09
"natural",0.09
"rafting",0.09
"trekking",0.09
"weather",0.09
"whitewater",0.09
"cabins",0.08
"clear",0.08
"downhill",0.08
"high",0.08
"horseback",0.08
"hot",0.08
"outdoor",0.08
"pass",0.08
"ridge",0.08
"rugged",0.08
"springs",0.08
"streams",0.08
"trout",0.08
"vertical",0.08
"view",0.08
"wilderness",0.08
"'''mount",0.07
"base",0.07
"foothills",0.07
"glacier",0.07
"hikers",0.07
"rock",0.07
"trek",0.07
"waterfalls",0.07
"wild",0.07
