"","meals"
"per",0.12
"extra",0.1
"friendly",0.1
"meal",0.1
"person",0.1
"room",0.1
"rooms",0.1
"food",0.09
"fresh",0.09
"included",0.09
"menu",0.09
"night",0.09
"prices",0.09
"booking",0.08
"budget",0.08
"cooked",0.08
"dishes",0.08
"drinks",0.08
"eat",0.08
"evening",0.08
"excellent",0.08
"good",0.08
"guest",0.08
"internet",0.08
"lunch",0.08
"offer",0.08
"private",0.08
"range",0.08
"restaurant",0.08
"return",0.08
"snacks",0.08
"staff",0.08
"stay",0.08
"vegetarian",0.08
"walk",0.08
"without",0.08
"ask",0.07
"available",0.07
"basic",0.07
"carte",0.07
"coffee",0.07
"dinner",0.07
"drink",0.07
"guests",0.07
"hostel",0.07
"hot",0.07
"open",0.07
"price",0.07
"serve",0.07
"serves",0.07
"simple",0.07
"units",0.07
