"","migratory"
"birds",0.34
"bird",0.21
"sanctuary",0.17
"refuge",0.15
"species",0.15
"wildlife",0.14
"freshwater",0.12
"endangered",0.11
"marks",0.1
"actively",0.09
"habitat",0.09
"migration",0.09
"wetlands",0.09
"nesting",0.08
"resident",0.08
