"","team"
"league",0.29
"football",0.24
"baseball",0.19
"plays",0.17
"teams",0.16
"stadium",0.15
"hockey",0.14
"soccer",0.14
"games",0.12
"cricket",0.11
"members",0.11
"play",0.11
"puts",0.11
"rugby",0.11
"freedom",0.1
"minor",0.1
"won",0.1
"arena",0.09
"compete",0.09
"playing",0.09
"research",0.09
"university",0.09
"academic",0.08
"campus",0.08
"college",0.08
"concert",0.08
"home",0.08
"member",0.08
"men's",0.08
"players",0.08
"sponsored",0.08
"sports",0.08
"venue",0.08
"voted",0.08
"basketball",0.07
"cup",0.07
"played",0.07
"venues",0.07
