"","either"
"will",0.15
"get",0.12
"may",0.12
"usually",0.12
"can",0.11
"especially",0.11
"find",0.11
"go",0.11
"pay",0.11
"side",0.11
"take",0.11
"ask",0.1
"change",0.1
"cost",0.1
"depending",0.1
"drivers",0.1
"even",0.1
"generally",0.1
"might",0.1
"need",0.1
"often",0.1
"probably",0.1
"sure",0.1
"travel",0.1
"way",0.1
"without",0.1
"'ll",0.09
"'re",0.09
"able",0.09
"although",0.09
"avoid",0.09
"cards",0.09
"cheaper",0.09
"check",0.09
"driver",0.09
"expect",0.09
"expensive",0.09
"getting",0.09
"higher",0.09
"least",0.09
"make",0.09
"note",0.09
"offer",0.09
"require",0.09
"tend",0.09
"though",0.09
"trip",0.09
"unless",0.09
"use",0.09
"wait",0.09
"want",0.09
"almost",0.08
"always",0.08
"anywhere",0.08
"arrive",0.08
"bit",0.08
"bring",0.08
"budget",0.08
"bus",0.08
"buy",0.08
"charge",0.08
"come",0.08
"common",0.08
"costs",0.08
"countries",0.08
"enter",0.08
"exchange",0.08
"extra",0.08
"foreign",0.08
"going",0.08
"just",0.08
"keep",0.08
"less",0.08
"longer",0.08
"look",0.08
"money",0.08
"much",0.08
"night",0.08
"normally",0.08
"passengers",0.08
"passport",0.08
"pick",0.08
"plan",0.08
"police",0.08
"price",0.08
"prices",0.08
"quite",0.08
"rate",0.08
"rather",0.08
"return",0.08
"ride",0.08
"slightly",0.08
"someone",0.08
"taking",0.08
"taxi",0.08
"ticket",0.08
"tickets",0.08
"time",0.08
"travellers",0.08
"try",0.08
"valid",0.08
"visa",0.08
"walk",0.08
"accept",0.07
"advisable",0.07
"ambulance",0.07
"another",0.07
"around",0.07
"back",0.07
"better",0.07
"careful",0.07
"difficult",0.07
"directly",0.07
"emergency",0.07
"food",0.07
"give",0.07
"hard",0.07
"highly",0.07
"however",0.07
"leaving",0.07
"likely",0.07
"limited",0.07
"long",0.07
"minibus",0.07
"number",0.07
"option",0.07
"paying",0.07
"people",0.07
"per",0.07
"person",0.07
"relatively",0.07
"security",0.07
"see",0.07
"sell",0.07
"short",0.07
"something",0.07
"sometimes",0.07
"stations",0.07
"stay",0.07
"tourist",0.07
"travelling",0.07
"typically",0.07
"work",0.07
