"","sa"
"su",0.58
"th",0.32
"f-sa",0.31
"m-f",0.29
"sa-su",0.22
"m-sa",0.19
"m-th",0.19
"st",0.17
"tu",0.17
"tu-sa",0.17
"ave",0.15
"library",0.15
"dr",0.14
"rd",0.13
"children",0.12
"free",0.12
"holidays",0.12
"museum",0.12
"ambulance",0.11
"art",0.11
"menu",0.11
"tu-su",0.11
"aug",0.1
"blvd",0.1
"center",0.1
"emergency",0.1
"exhibits",0.1
"reception",0.1
"rotating",0.1
"arts",0.09
"building",0.09
"closed",0.09
"gallery",0.09
"history",0.09
"indoor",0.09
"inn",0.09
"orchestra",0.09
"restaurant",0.09
"artists",0.08
"collection",0.08
"concerts",0.08
"corner",0.08
"dec",0.08
"downtown",0.08
"frank",0.08
"grill",0.08
"live",0.08
"lunch",0.08
"music",0.08
"networks",0.08
"pizza",0.08
"seating",0.08
"students",0.08
"symphony",0.08
"theater",0.08
"theatre",0.08
"classic",0.07
"coverage",0.07
"daily",0.07
"effect",0.07
"features",0.07
"house",0.07
"selection",0.07
"slot",0.07
"store",0.07
"student",0.07
"wi-fi",0.07
