"","cuisine"
"restaurant",0.18
"dishes",0.15
"italian",0.15
"authentic",0.14
"dining",0.14
"food",0.13
"menu",0.13
"bar",0.12
"serving",0.12
"vegetarian",0.12
"american",0.11
"asian",0.11
"cafe",0.11
"fresh",0.11
"indian",0.11
"offers",0.11
"serves",0.11
"variety",0.11
"atmosphere",0.1
"chinese",0.1
"delicious",0.1
"lunch",0.1
"meal",0.1
"meat",0.1
"music",0.1
"selection",0.1
"shopping",0.1
"style",0.1
"bars",0.09
"boutique",0.09
"casual",0.09
"chef",0.09
"coffee",0.09
"cooked",0.09
"creative",0.09
"cuisines",0.09
"different",0.09
"dinner",0.09
"enjoy",0.09
"european",0.09
"excellent",0.09
"features",0.09
"featuring",0.09
"fine",0.09
"gourmet",0.09
"great",0.09
"lebanese",0.09
"live",0.09
"lounge",0.09
"offer",0.09
"outdoor",0.09
"pub",0.09
"quality",0.09
"spicy",0.09
"sushi",0.09
"table",0.09
"tasty",0.09
"try",0.09
"upscale",0.09
"well",0.09
"wine",0.09
"best",0.08
"bistro",0.08
"business",0.08
"chicken",0.08
"classic",0.08
"drinks",0.08
"elegant",0.08
"free",0.08
"french",0.08
"friendly",0.08
"fun",0.08
"fusion",0.08
"grill",0.08
"indoor",0.08
"intimate",0.08
"like",0.08
"local",0.08
"mall",0.08
"modern",0.08
"offering",0.08
"pizza",0.08
"popular",0.08
"prepared",0.08
"prices",0.08
"ranging",0.08
"sandwiches",0.08
"seafood",0.08
"seating",0.08
"served",0.08
"street",0.08
"stylish",0.08
"thai",0.08
"throughout",0.08
"trendy",0.08
"unique",0.08
"wide",0.08
"always",0.07
"beer",0.07
"blvd",0.07
"choose",0.07
"cooking",0.07
"culinary",0.07
"decor",0.07
"desserts",0.07
"especially",0.07
"every",0.07
"family",0.07
"fast",0.07
"favorite",0.07
"find",0.07
"fitness",0.07
"full",0.07
"include",0.07
"including",0.07
"internet",0.07
"list",0.07
"mexican",0.07
"mix",0.07
"mixed",0.07
"often",0.07
"open",0.07
"parking",0.07
"special",0.07
"specialty",0.07
"taste",0.07
"vegan",0.07
"venues",0.07
